,Date,v,final_v,ml_v,h,final_h,ml_h,total_open,total_close,spread_open,spread_close,v_win_prob,h_win_prob
0,1017,Boston,99,166,Cleveland,102,-195,214.5,216.0,-4.0,-4.5,0.36254147720290025,0.6374585227970996
1,1017,Houston,122,364,GoldenState,121,-470,232.0,231.5,-9.0,-9.0,0.20721244728806162,0.7927875527119383
2,1018,Brooklyn,131,135,Indiana,140,-155,212.0,216.5,-3.5,-3.0,0.4117884537747275,0.5882115462252725
3,1018,Philadelphia,115,240,Washington,120,-300,215.5,217.5,-6.5,-6.5,0.28169014084507044,0.7183098591549295
4,1018,Miami,109,-170,Orlando,116,145,207.0,205.5,3.0,3.5,0.6067006554989074,0.39329934450109244
5,1018,Charlotte,90,125,Detroit,102,-145,204.0,202.0,-3.0,-2.5,0.42888402625820565,0.5711159737417943
6,1018,Milwaukee,108,105,Boston,100,-125,208.5,203.0,-6.0,-1.5,0.4675324675324675,0.5324675324675325
7,1018,NewOrleans,91,110,Memphis,103,-130,205.0,204.5,-3.0,-2.0,0.4572564612326044,0.5427435387673957
8,1018,Atlanta,117,190,Dallas,111,-240,199.5,199.0,-6.5,-5.5,0.3281853281853282,0.6718146718146719
9,1018,Denver,96,120,Utah,106,-140,209.0,205.0,-2.0,-2.5,0.43795620437956206,0.562043795620438
10,1018,Minnesota,99,105,SanAntonio,107,-125,207.0,203.5,-3.0,-1.5,0.4675324675324675,0.5324675324675325
11,1018,Houston,105,-310,Sacramento,100,250,218.5,216.5,9.0,7.0,0.725752508361204,0.27424749163879597
12,1018,Portland,124,-140,Phoenix,76,120,220.0,219.5,1.0,2.5,0.562043795620438,0.43795620437956206
13,1019,Chicago,101,800,Toronto,117,-1400,206.0,206.5,-12.0,-14.0,0.10638297872340424,0.8936170212765957
14,1019,NewYork,84,650,OklahomaCity,105,-1000,213.0,215.5,-11.5,-12.5,0.12790697674418605,0.8720930232558138
15,1019,LAClippers,108,-260,LALakers,92,210,218.5,219.0,4.5,6.5,0.6912521440823327,0.30874785591766724
16,1020,Boston,102,130,Philadelphia,92,-150,216.5,217.0,1.0,-3.0,0.42016806722689076,0.5798319327731092
17,1020,Atlanta,91,160,Charlotte,109,-190,202.5,205.5,-6.0,-4.5,0.3698979591836735,0.6301020408163266
18,1020,Detroit,111,230,Washington,115,-280,210.5,211.5,-6.5,-6.5,0.29141104294478526,0.7085889570552146
19,1020,Cleveland,116,-105,Milwaukee,97,-115,210.0,209.5,1.5,-1.0,0.4891657638136511,0.5108342361863488
20,1020,Portland,114,-230,Indiana,96,185,219.0,218.5,3.5,6.0,0.665144596651446,0.334855403348554
21,1020,Orlando,121,110,Brooklyn,126,-130,220.0,226.0,-1.0,-2.0,0.4572564612326044,0.5427435387673957
22,1020,Utah,97,170,Minnesota,100,-200,200.0,197.0,-5.5,-5.0,0.35714285714285715,0.6428571428571429
23,1020,Sacramento,93,200,Dallas,88,-250,203.0,201.5,-5.5,-6.0,0.3181818181818181,0.6818181818181818
24,1020,GoldenState,128,-470,NewOrleans,120,360,222.5,221.0,6.5,9.0,0.7913616398243045,0.20863836017569545
25,1020,LALakers,132,140,Phoenix,130,-160,222.0,220.5,-2.5,-3.5,0.40372670807453415,0.5962732919254659
26,1021,Philadelphia,94,292,Toronto,128,-365,216.0,219.0,-7.5,-8.5,0.2452790378731934,0.7547209621268066
27,1021,Orlando,114,588,Cleveland,93,-850,212.5,216.0,-11.0,-11.5,0.1397469844071786,0.8602530155928215
28,1021,Dallas,91,588,Houston,107,-850,214.5,216.0,-10.5,-11.5,0.1397469844071786,0.8602530155928215
29,1021,Detroit,111,-115,NewYork,107,-105,206.5,204.5,1.5,1.0,0.5108342361863488,0.4891657638136511
30,1021,Indiana,108,334,Miami,112,-425,211.0,213.5,-8.5,-9.5,0.22156573116691286,0.7784342688330872
31,1021,SanAntonio,87,-600,Chicago,77,447,202.0,200.5,7.5,10.0,0.8242089402310396,0.1757910597689603
32,1021,GoldenState,101,-375,Memphis,111,299,213.0,212.5,7.5,8.5,0.7590361445783133,0.24096385542168675
33,1021,Portland,110,130,Milwaukee,113,-150,213.5,208.5,-4.5,-3.0,0.42016806722689076,0.5798319327731092
34,1021,Sacramento,79,588,Denver,96,-850,216.0,212.5,-11.0,-12.5,0.1397469844071786,0.8602530155928215
35,1021,OklahomaCity,87,-180,Utah,96,155,200.5,200.0,4.0,4.0,0.6211096075778079,0.37889039242219213
36,1021,Phoenix,88,857,LAClippers,130,-1450,220.0,220.0,-11.5,-13.5,0.10047645285709655,0.8995235471429034
37,1022,Atlanta,104,-105,Brooklyn,116,-115,219.5,220.0,-2.5,-1.0,0.4891657638136511,0.5108342361863488
38,1022,Minnesota,115,150,OklahomaCity,113,-180,211.5,212.0,-4.5,-4.0,0.3835616438356164,0.6164383561643836
39,1022,NewOrleans,119,-210,LALakers,112,175,217.0,222.5,4.0,5.5,0.6507042253521127,0.34929577464788736
40,1023,Philadelphia,97,140,Detroit,86,-160,213.0,213.5,-4.0,-3.0,0.40372670807453415,0.5962732919254659
41,1023,Atlanta,93,500,Miami,104,-700,206.0,205.0,-11.5,-10.5,0.15999999999999998,0.84
42,1023,Memphis,98,280,Houston,90,-360,210.5,213.5,-8.0,-8.0,0.25164113785557984,0.7483588621444202
43,1023,Charlotte,94,210,Milwaukee,103,-260,205.0,203.5,-6.0,-6.5,0.30874785591766724,0.6912521440823327
44,1023,GoldenState,133,-1400,Dallas,103,800,214.0,217.5,10.5,13.5,0.8936170212765957,0.10638297872340424
45,1023,Toronto,97,125,SanAntonio,101,-145,206.0,202.0,-2.5,-2.5,0.42888402625820565,0.5711159737417943
46,1023,Washington,109,170,Denver,104,-200,223.0,224.0,-2.5,-5.0,0.35714285714285715,0.6428571428571429
47,1023,Sacramento,115,-140,Phoenix,117,120,211.0,206.5,-2.0,2.5,0.562043795620438,0.43795620437956206
48,1024,Brooklyn,121,170,Orlando,125,-200,229.0,228.5,-3.5,-5.0,0.35714285714285715,0.6428571428571429
49,1024,Chicago,112,1100,Cleveland,119,-2500,207.5,205.5,-14.0,-15.0,0.07975460122699386,0.9202453987730062
50,1024,NewYork,89,240,Boston,110,-300,210.0,208.0,-9.0,-7.0,0.28169014084507044,0.7183098591549295
51,1024,Indiana,130,500,Minnesota,107,-700,217.0,218.0,-11.0,-10.5,0.15999999999999998,0.84
52,1024,NewOrleans,93,170,Portland,103,-200,219.0,216.5,-4.5,-5.0,0.35714285714285715,0.6428571428571429
53,1024,Utah,84,170,LAClippers,102,-200,200.5,196.0,-3.0,-5.0,0.35714285714285715,0.6428571428571429
54,1025,Minnesota,101,120,Detroit,122,-140,208.0,209.0,-0.0,-2.5,0.43795620437956206,0.562043795620438
55,1025,Houston,105,-160,Philadelphia,104,140,223.0,221.0,3.0,3.0,0.5962732919254659,0.40372670807453415
56,1025,Denver,93,-140,Charlotte,110,120,212.0,211.5,-0.0,2.5,0.562043795620438,0.43795620437956206
57,1025,Cleveland,107,-340,Brooklyn,112,270,227.0,223.5,7.0,8.0,0.740871613663133,0.2591283863368669
58,1025,SanAntonio,117,-150,Miami,100,130,195.0,196.5,3.0,3.0,0.5798319327731092,0.42016806722689076
59,1025,Indiana,96,650,OklahomaCity,114,-1000,218.0,218.0,-14.0,-13.5,0.12790697674418605,0.8720930232558138
60,1025,Memphis,94,-160,Dallas,103,140,196.0,197.0,4.0,3.0,0.5962732919254659,0.40372670807453415
61,1025,Utah,88,-330,Phoenix,97,260,203.0,205.0,7.0,7.5,0.7342398022249692,0.2657601977750309
62,1025,Washington,99,-220,LALakers,102,180,230.0,229.0,5.5,5.5,0.6581196581196581,0.3418803418803419
63,1025,Toronto,112,700,GoldenState,117,-1100,224.0,230.0,-11.5,-12.0,0.12000000000000002,0.8800000000000001
64,1026,Dallas,91,270,Memphis,96,-340,196.5,194.5,-9.0,-8.0,0.2591283863368669,0.740871613663133
65,1026,Boston,96,160,Milwaukee,89,-190,207.0,206.5,-3.5,-4.5,0.3698979591836735,0.6301020408163266
66,1026,Atlanta,86,110,Chicago,91,-130,199.5,200.0,-2.5,-2.0,0.4572564612326044,0.5427435387673957
67,1026,LAClippers,104,120,Portland,103,-140,210.5,216.0,-1.0,-2.5,0.43795620437956206,0.562043795620438
68,1026,NewOrleans,114,100,Sacramento,106,-120,204.0,204.5,-1.0,-1.0,0.4782608695652174,0.5217391304347826
69,1027,SanAntonio,87,-240,Orlando,114,190,204.5,207.0,5.5,5.5,0.6718146718146719,0.3281853281853282
70,1027,Houston,109,-140,Charlotte,93,120,213.0,214.5,3.0,2.5,0.562043795620438,0.43795620437956206
