,Date,v,final_v,ml_v,h,final_h,ml_h,total_open,total_close,spread_open,spread_close,v_win_prob,h_win_prob
0,1222,GoldenState,99,265,Brooklyn,125,-320,228.0,234.5,-5.5,-7.5,0.26448362720403024,0.7355163727959698
1,1222,LAClippers,116,115,LALakers,109,-135,223.0,219.0,-2.5,-2.0,0.447405997144217,0.552594002855783
2,1223,Charlotte,114,-140,Cleveland,121,120,215.0,217.0,-1.0,3.0,0.562043795620438,0.43795620437956206
3,1223,NewYork,107,270,Indiana,121,-330,214.5,215.5,-8.5,-7.5,0.26044821320411876,0.7395517867958814
4,1223,Miami,107,-190,Orlando,113,170,220.5,219.0,3.5,4.5,0.6388542963885429,0.361145703611457
5,1223,Washington,107,250,Philadelphia,113,-300,229.0,230.5,-7.5,-7.0,0.27586206896551724,0.7241379310344829
6,1223,Milwaukee,121,-190,Boston,122,170,226.0,223.0,2.5,4.5,0.6388542963885429,0.361145703611457
7,1223,NewOrleans,113,150,Toronto,99,-170,230.0,228.5,-5.0,-3.5,0.38848920863309355,0.6115107913669064
8,1223,Atlanta,124,-130,Chicago,104,110,227.0,234.0,1.5,2.0,0.5427435387673957,0.4572564612326044
9,1223,SanAntonio,131,110,Memphis,119,-130,231.5,230.0,-3.0,-2.0,0.4572564612326044,0.5427435387673957
10,1223,Detroit,101,190,Minnesota,111,-220,227.0,224.5,-5.5,-5.5,0.33402922755741127,0.6659707724425887
11,1223,Sacramento,124,260,Denver,122,-310,224.5,227.5,-8.0,-7.5,0.26867627785058973,0.7313237221494101
12,1223,Utah,120,-130,Portland,100,110,229.0,226.0,-1.5,1.5,0.5427435387673957,0.4572564612326044
13,1223,Dallas,102,100,Phoenix,106,-120,237.0,232.5,-0.0,-1.5,0.4782608695652174,0.5217391304347826
14,1225,NewOrleans,98,130,Miami,111,-150,229.0,221.0,-5.0,-3.0,0.42016806722689076,0.5798319327731092
15,1225,GoldenState,99,450,Milwaukee,138,-600,233.5,230.5,-8.5,-10.0,0.17500000000000002,0.8250000000000001
16,1225,Brooklyn,123,-145,Boston,95,125,227.0,229.5,-0.0,3.0,0.5711159737417943,0.42888402625820565
17,1225,Dallas,115,225,LALakers,138,-265,230.0,226.0,-6.5,-6.0,0.2976554536187564,0.7023445463812437
18,1225,LAClippers,121,-160,Denver,108,140,222.0,226.5,2.0,3.5,0.5962732919254659,0.40372670807453415
19,1226,Atlanta,122,120,Memphis,112,-140,237.5,238.5,1.0,-2.5,0.43795620437956206,0.562043795620438
20,1226,Cleveland,128,-110,Detroit,119,-110,220.0,214.0,-3.0,-0.0,0.5,0.5
21,1226,Orlando,130,110,Washington,120,-130,228.5,232.0,-1.0,-1.5,0.4572564612326044,0.5427435387673957
22,1226,OklahomaCity,109,125,Charlotte,107,-145,218.5,219.5,-3.0,-3.0,0.42888402625820565,0.5711159737417943
23,1226,Philadelphia,109,-360,NewYork,89,300,219.0,215.0,8.0,8.0,0.7578947368421054,0.24210526315789477
24,1226,Indiana,125,-240,Chicago,106,200,222.5,223.5,3.0,6.0,0.6792452830188679,0.32075471698113206
25,1226,Toronto,114,-145,SanAntonio,119,125,225.5,228.5,2.0,2.5,0.5711159737417943,0.42888402625820565
26,1226,Minnesota,116,375,Utah,111,-450,225.5,229.0,-8.0,-9.5,0.20465116279069767,0.7953488372093024
27,1226,Phoenix,103,-160,Sacramento,106,140,230.0,227.0,4.5,3.5,0.5962732919254659,0.40372670807453415
28,1226,Houston,126,300,Portland,128,-360,225.0,225.5,-8.5,-7.5,0.24210526315789477,0.7578947368421054
29,1227,Dallas,124,140,LAClippers,73,-160,230.0,226.5,-4.5,-3.0,0.40372670807453415,0.5962732919254659
30,1227,SanAntonio,95,170,NewOrleans,98,-190,226.5,227.5,-5.5,-5.0,0.361145703611457,0.6388542963885429
31,1227,Orlando,120,-130,Washington,113,110,225.5,231.0,-1.5,2.0,0.5427435387673957,0.4572564612326044
32,1227,Brooklyn,104,-600,Charlotte,106,450,224.0,233.0,7.5,11.5,0.8250000000000001,0.17500000000000002
33,1227,Philadelphia,94,-240,Cleveland,118,200,218.5,218.0,5.5,6.0,0.6792452830188679,0.32075471698113206
34,1227,Milwaukee,110,-1200,NewYork,130,750,223.5,222.0,11.0,13.0,0.8869565217391304,0.11304347826086955
35,1227,Boston,107,-135,Indiana,108,115,219.0,220.5,-3.0,3.0,0.552594002855783,0.447405997144217
36,1227,GoldenState,129,-165,Chicago,128,145,226.0,229.5,2.0,3.5,0.6040343668285393,0.39596563317146055
37,1227,Phoenix,116,-160,Sacramento,100,140,224.5,225.5,3.5,3.0,0.5962732919254659,0.40372670807453415
38,1228,Minnesota,91,400,LALakers,127,-500,224.0,229.0,-11.0,-10.5,0.1935483870967742,0.8064516129032258
39,1228,Memphis,116,-125,Brooklyn,111,105,235.0,227.5,-7.0,1.5,0.5324675324675325,0.4675324675324675
40,1228,Detroit,120,400,Atlanta,128,-500,226.5,223.5,-8.5,-10.5,0.1935483870967742,0.8064516129032258
41,1228,Utah,110,-400,OklahomaCity,109,330,221.0,218.0,5.0,9.0,0.7747747747747749,0.22522522522522523
42,1228,Houston,111,225,Denver,124,-265,225.5,222.0,-9.0,-6.5,0.2976554536187564,0.7023445463812437
43,1228,Portland,115,195,LALakers,107,-230,227.5,229.0,-4.5,-6.0,0.32721864154685176,0.6727813584531482
44,1229,Boston,116,-105,Indiana,111,-115,220.0,219.0,1.0,-1.0,0.4891657638136511,0.5108342361863488
45,1229,Chicago,115,210,Washington,107,-250,232.5,238.0,-4.5,-6.5,0.31111111111111106,0.6888888888888889
46,1229,GoldenState,116,-170,Detroit,106,150,222.5,227.5,3.5,4.5,0.6115107913669064,0.38848920863309355
47,1229,Toronto,93,105,Philadelphia,100,-125,218.5,219.5,-0.0,-1.5,0.4675324675324675,0.5324675324675325
48,1229,NewYork,95,140,Cleveland,86,-160,219.5,216.0,-4.5,-3.5,0.40372670807453415,0.5962732919254659
49,1229,Milwaukee,144,-240,Miami,97,200,222.5,227.5,5.0,6.0,0.6792452830188679,0.32075471698113206
50,1229,Orlando,118,-250,OklahomaCity,107,210,219.5,219.0,5.0,6.5,0.6888888888888889,0.31111111111111106
