,Date,v,final_v,ml_v,h,final_h,ml_h,total_open,total_close,spread_open,spread_close,v_win_prob,h_win_prob
0,1016.0,Philadelphia,87.0,170.0,Boston,105.0,-200.0,208.5,211.5,-5.0,-4.5,0.35714285714285715,0.6428571428571429
1,1016.0,OklahomaCity,100.0,711.0,GoldenState,108.0,-1100.0,223.5,220.5,-11.5,-12.0,0.11856535915423377,0.8814346408457663
2,1017.0,Memphis,83.0,263.0,Indiana,111.0,-325.0,209.0,204.5,-7.0,-7.5,0.2648387599314535,0.7351612400685464
3,1017.0,Milwaukee,113.0,-165.0,Charlotte,112.0,144.0,217.0,222.0,1.5,3.0,0.6030557219892152,0.39694427801078497
4,1017.0,Miami,101.0,-135.0,Orlando,104.0,115.0,210.5,208.0,2.0,2.5,0.552594002855783,0.447405997144217
5,1017.0,Brooklyn,100.0,211.0,Detroit,103.0,-255.0,212.0,213.0,-4.5,-6.0,0.30921998170811377,0.6907800182918863
6,1017.0,Atlanta,107.0,148.0,NewYork,126.0,-170.0,213.5,216.5,-3.5,-4.0,0.3903990746096009,0.6096009253903991
7,1017.0,Cleveland,104.0,797.0,Toronto,116.0,-1300.0,214.0,215.5,-11.5,-12.5,0.10718934231682106,0.8928106576831789
8,1017.0,NewOrleans,131.0,278.0,Houston,112.0,-345.0,229.5,233.0,-7.5,-8.0,0.2544165570865016,0.7455834429134984
9,1017.0,Minnesota,108.0,125.0,SanAntonio,112.0,-145.0,210.5,212.0,-1.0,-2.5,0.42888402625820565,0.5711159737417943
10,1017.0,Utah,123.0,-400.0,Sacramento,117.0,317.0,208.0,205.5,7.5,8.5,0.7693726937269373,0.23062730627306272
11,1017.0,Dallas,100.0,-130.0,Phoenix,121.0,110.0,215.0,212.5,-1.0,2.5,0.5427435387673957,0.4572564612326044
12,1017.0,Denver,107.0,-125.0,LAClippers,98.0,105.0,227.0,222.5,-0.0,2.0,0.5324675324675325,0.4675324675324675
13,1018.0,Chicago,108.0,733.0,Philadelphia,127.0,-1150.0,215.0,221.0,-11.0,-12.5,0.1154254582390692,0.8845745417609309
14,1018.0,Miami,113.0,215.0,Washington,112.0,-260.0,212.0,215.0,-4.0,-6.0,0.3053435114503817,0.6946564885496184
15,1018.0,LALakers,119.0,135.0,Portland,128.0,-155.0,222.0,224.0,-2.5,-3.0,0.4117884537747275,0.5882115462252725
16,1019.0,Charlotte,120.0,-125.0,Orlando,88.0,105.0,217.0,215.5,0.0,1.5,0.5324675324675325,0.4675324675324675
17,1019.0,NewYork,105.0,148.0,Brooklyn,107.0,-170.0,218.5,222.0,-3.0,-4.0,0.3903990746096009,0.6096009253903991
18,1019.0,Sacramento,129.0,664.0,NewOrleans,149.0,-1000.0,228.0,232.5,-10.5,-11.5,0.12585812356979406,0.874141876430206
19,1019.0,Boston,101.0,135.0,Toronto,113.0,-155.0,206.0,209.5,-3.0,-3.0,0.4117884537747275,0.5882115462252725
20,1019.0,Cleveland,123.0,334.0,Minnesota,131.0,-425.0,223.5,223.0,-8.0,-8.5,0.22156573116691286,0.7784342688330872
21,1019.0,Atlanta,117.0,237.0,Memphis,131.0,-290.0,208.5,217.0,-6.5,-7.0,0.28523367220068746,0.7147663277993125
22,1019.0,Indiana,101.0,144.0,Milwaukee,118.0,-165.0,214.5,217.0,-3.0,-3.5,0.39694427801078497,0.6030557219892152
23,1019.0,GoldenState,124.0,-135.0,Utah,123.0,115.0,218.0,217.5,2.0,2.5,0.552594002855783,0.447405997144217
24,1019.0,OklahomaCity,92.0,130.0,LAClippers,108.0,-150.0,215.5,214.0,-1.5,-3.0,0.42016806722689076,0.5798319327731092
25,1020.0,Toronto,117.0,110.0,Washington,113.0,-130.0,216.5,219.5,1.0,-2.0,0.4572564612326044,0.5427435387673957
26,1020.0,Brooklyn,112.0,303.0,Indiana,132.0,-380.0,210.5,214.5,-9.0,-8.0,0.23863975340558816,0.7613602465944118
27,1020.0,Orlando,115.0,797.0,Philadelphia,116.0,-1300.0,217.0,217.5,-11.5,-12.5,0.10718934231682106,0.8928106576831789
28,1020.0,Boston,103.0,-500.0,NewYork,101.0,384.0,211.5,210.5,8.0,9.5,0.8013245033112583,0.1986754966887417
29,1020.0,Charlotte,113.0,135.0,Miami,112.0,-155.0,216.5,220.5,-5.0,-3.5,0.4117884537747275,0.5882115462252725
30,1020.0,Detroit,118.0,-200.0,Chicago,116.0,170.0,214.0,217.0,2.5,5.0,0.6428571428571429,0.35714285714285715
31,1020.0,Minnesota,136.0,110.0,Dallas,140.0,-130.0,216.0,220.5,2.5,-2.0,0.4572564612326044,0.5427435387673957
32,1020.0,Phoenix,91.0,459.0,Denver,119.0,-620.0,223.0,224.5,-9.0,-10.5,0.172010129485403,0.8279898705145969
33,1020.0,SanAntonio,108.0,172.0,Portland,121.0,-205.0,213.0,214.0,-4.0,-5.0,0.35358219336888475,0.6464178066311151
34,1020.0,Houston,124.0,-160.0,LALakers,115.0,140.0,235.0,237.5,2.0,3.5,0.5962732919254659,0.40372670807453415
35,1021.0,Atlanta,133.0,303.0,Cleveland,111.0,-380.0,226.5,232.5,-5.5,-8.0,0.23863975340558816,0.7613602465944118
36,1021.0,Sacramento,131.0,477.0,OklahomaCity,120.0,-650.0,219.5,222.5,-8.5,-10.5,0.1666481502055327,0.8333518497944672
37,1021.0,GoldenState,98.0,-189.0,Denver,100.0,163.0,230.0,230.5,3.0,4.5,0.6323482641495033,0.36765173585049676
38,1021.0,Houston,112.0,115.0,LAClippers,115.0,-135.0,225.0,220.5,2.5,-2.5,0.447405997144217,0.552594002855783
39,1022.0,Charlotte,106.0,317.0,Toronto,127.0,-400.0,221.0,225.0,-9.0,-8.5,0.23062730627306272,0.7693726937269373
40,1022.0,Orlando,93.0,611.0,Boston,90.0,-894.0,212.0,211.5,-12.0,-11.0,0.1352318396155824,0.8647681603844176
41,1022.0,Indiana,91.0,110.0,Minnesota,101.0,-130.0,221.5,229.5,-2.0,-2.0,0.4572564612326044,0.5427435387673957
42,1022.0,NewYork,113.0,614.0,Milwaukee,124.0,-900.0,222.0,227.0,-10.0,-11.5,0.13466199838405601,0.865338001615944
43,1022.0,Chicago,109.0,170.0,Dallas,115.0,-200.0,228.5,229.0,-4.5,-5.0,0.35714285714285715,0.6428571428571429
44,1022.0,Memphis,92.0,506.0,Utah,84.0,-700.0,218.0,213.5,-9.0,-11.0,0.15866719555731854,0.8413328044426814
45,1022.0,Washington,125.0,160.0,Portland,124.0,-185.0,226.0,228.0,-4.5,-4.5,0.3720626631853786,0.6279373368146214
46,1022.0,SanAntonio,143.0,110.0,LALakers,142.0,-130.0,222.5,226.5,-1.0,-2.0,0.4572564612326044,0.5427435387673957
47,1022.0,Phoenix,103.0,797.0,GoldenState,123.0,-1300.0,228.5,227.5,-13.0,-12.5,0.10718934231682106,0.8928106576831789
48,1023.0,Philadelphia,132.0,-120.0,Detroit,133.0,100.0,219.0,214.5,3.0,1.0,0.5217391304347826,0.4782608695652174
49,1023.0,LAClippers,109.0,203.0,NewOrleans,116.0,-245.0,233.0,237.5,-5.5,-5.5,0.3172851427783142,0.6827148572216858
50,1023.0,Sacramento,112.0,614.0,Denver,126.0,-900.0,227.0,229.5,-11.5,-12.0,0.13466199838405601,0.865338001615944
51,1024.0,Brooklyn,102.0,125.0,Cleveland,86.0,-145.0,228.0,226.0,-3.0,-2.5,0.42888402625820565,0.5711159737417943
52,1024.0,Dallas,104.0,-130.0,Atlanta,111.0,110.0,231.5,235.5,2.5,2.0,0.5427435387673957,0.4572564612326044
53,1024.0,NewYork,87.0,300.0,Miami,110.0,-400.0,224.0,218.0,-8.0,-8.0,0.23809523809523808,0.7619047619047619
54,1024.0,Minnesota,105.0,325.0,Toronto,112.0,-425.0,226.0,226.5,-8.0,-8.5,0.22520107238605896,0.774798927613941
55,1024.0,Charlotte,110.0,-200.0,Chicago,112.0,170.0,227.0,229.5,3.5,4.5,0.6428571428571429,0.35714285714285715
56,1024.0,Utah,100.0,-105.0,Houston,89.0,-115.0,218.5,217.5,-3.5,-1.0,0.4891657638136511,0.5108342361863488
57,1024.0,Indiana,116.0,105.0,SanAntonio,96.0,-125.0,215.0,210.5,-2.0,-1.5,0.4675324675324675,0.5324675324675325
58,1024.0,Philadelphia,108.0,180.0,Milwaukee,123.0,-220.0,224.5,228.5,-4.5,-5.0,0.3418803418803419,0.6581196581196581
59,1024.0,LALakers,131.0,-230.0,Phoenix,113.0,185.0,234.0,238.0,2.0,5.5,0.665144596651446,0.334855403348554
60,1024.0,Memphis,92.0,-140.0,Sacramento,97.0,120.0,220.0,220.5,2.0,2.5,0.562043795620438,0.43795620437956206
61,1024.0,Washington,122.0,450.0,GoldenState,144.0,-650.0,231.5,235.5,-9.5,-10.0,0.17341040462427745,0.8265895953757225
62,1025.0,Cleveland,103.0,375.0,Detroit,110.0,-500.0,223.5,216.5,-6.5,-9.5,0.20168067226890757,0.7983193277310925
63,1025.0,Portland,128.0,-170.0,Orlando,114.0,145.0,219.0,213.5,3.5,3.5,0.6067006554989074,0.39329934450109244
64,1025.0,Boston,101.0,-110.0,OklahomaCity,95.0,-110.0,209.0,219.0,-1.5,-0.0,0.5,0.5
