,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
0,"Tue, Dec 22, 2020",7:00p,Golden State Warriors,99,Brooklyn Nets,125,Box Score,,0,
1,"Tue, Dec 22, 2020",10:00p,Los Angeles Clippers,116,Los Angeles Lakers,109,Box Score,,0,
2,"Wed, Dec 23, 2020",7:00p,Charlotte Hornets,114,Cleveland Cavaliers,121,Box Score,,300,
3,"Wed, Dec 23, 2020",7:00p,New York Knicks,107,Indiana Pacers,121,Box Score,,0,
4,"Wed, Dec 23, 2020",7:00p,Miami Heat,107,Orlando Magic,113,Box Score,,"3,396",
5,"Wed, Dec 23, 2020",7:00p,Washington Wizards,107,Philadelphia 76ers,113,Box Score,,0,
6,"Wed, Dec 23, 2020",7:30p,New Orleans Pelicans,113,Toronto Raptors,99,Box Score,,"3,800",
7,"Wed, Dec 23, 2020",7:30p,Milwaukee Bucks,121,Boston Celtics,122,Box Score,,0,
8,"Wed, Dec 23, 2020",8:00p,Atlanta Hawks,124,Chicago Bulls,104,Box Score,,0,
9,"Wed, Dec 23, 2020",8:00p,San Antonio Spurs,131,Memphis Grizzlies,119,Box Score,,0,
10,"Wed, Dec 23, 2020",8:00p,Detroit Pistons,101,Minnesota Timberwolves,111,Box Score,,0,
11,"Wed, Dec 23, 2020",9:00p,Sacramento Kings,124,Denver Nuggets,122,Box Score,OT,0,
12,"Wed, Dec 23, 2020",10:00p,Utah Jazz,120,Portland Trail Blazers,100,Box Score,,0,
13,"Wed, Dec 23, 2020",10:30p,Dallas Mavericks,102,Phoenix Suns,106,Box Score,,0,
14,"Fri, Dec 25, 2020",12:00p,New Orleans Pelicans,98,Miami Heat,111,Box Score,,0,
15,"Fri, Dec 25, 2020",2:30p,Golden State Warriors,99,Milwaukee Bucks,138,Box Score,,0,
16,"Fri, Dec 25, 2020",5:00p,Brooklyn Nets,123,Boston Celtics,95,Box Score,,0,
17,"Fri, Dec 25, 2020",8:00p,Dallas Mavericks,115,Los Angeles Lakers,138,Box Score,,0,
18,"Fri, Dec 25, 2020",10:30p,Los Angeles Clippers,121,Denver Nuggets,108,Box Score,,0,
19,"Sat, Dec 26, 2020",5:00p,Atlanta Hawks,122,Memphis Grizzlies,112,Box Score,,0,
20,"Sat, Dec 26, 2020",7:00p,Oklahoma City Thunder,109,Charlotte Hornets,107,Box Score,,0,
21,"Sat, Dec 26, 2020",7:00p,Cleveland Cavaliers,128,Detroit Pistons,119,Box Score,2OT,0,
22,"Sat, Dec 26, 2020",7:00p,Orlando Magic,130,Washington Wizards,120,Box Score,,0,
23,"Sat, Dec 26, 2020",7:30p,Philadelphia 76ers,109,New York Knicks,89,Box Score,,0,
24,"Sat, Dec 26, 2020",8:00p,Indiana Pacers,125,Chicago Bulls,106,Box Score,,0,
25,"Sat, Dec 26, 2020",8:30p,Toronto Raptors,114,San Antonio Spurs,119,Box Score,,0,
26,"Sat, Dec 26, 2020",9:00p,Minnesota Timberwolves,116,Utah Jazz,111,Box Score,,"1,932",
27,"Sat, Dec 26, 2020",10:00p,Houston Rockets,126,Portland Trail Blazers,128,Box Score,OT,0,
28,"Sat, Dec 26, 2020",10:00p,Phoenix Suns,103,Sacramento Kings,106,Box Score,,0,
29,"Sun, Dec 27, 2020",3:30p,Dallas Mavericks,124,Los Angeles Clippers,73,Box Score,,0,
30,"Sun, Dec 27, 2020",7:00p,San Antonio Spurs,95,New Orleans Pelicans,98,Box Score,,750,
31,"Sun, Dec 27, 2020",7:00p,Orlando Magic,120,Washington Wizards,113,Box Score,,0,
32,"Sun, Dec 27, 2020",7:00p,Brooklyn Nets,104,Charlotte Hornets,106,Box Score,,0,
33,"Sun, Dec 27, 2020",7:30p,Philadelphia 76ers,94,Cleveland Cavaliers,118,Box Score,,300,
34,"Sun, Dec 27, 2020",7:30p,Milwaukee Bucks,110,New York Knicks,130,Box Score,,0,
35,"Sun, Dec 27, 2020",8:00p,Boston Celtics,107,Indiana Pacers,108,Box Score,,0,
36,"Sun, Dec 27, 2020",8:00p,Golden State Warriors,129,Chicago Bulls,128,Box Score,,0,
37,"Sun, Dec 27, 2020",9:00p,Phoenix Suns,116,Sacramento Kings,100,Box Score,,0,
38,"Sun, Dec 27, 2020",10:00p,Minnesota Timberwolves,91,Los Angeles Lakers,127,Box Score,,0,
39,"Mon, Dec 28, 2020",7:30p,Memphis Grizzlies,116,Brooklyn Nets,111,Box Score,OT,0,
40,"Mon, Dec 28, 2020",7:30p,Detroit Pistons,120,Atlanta Hawks,128,Box Score,,0,
41,"Mon, Dec 28, 2020",8:00p,Utah Jazz,110,Oklahoma City Thunder,109,Box Score,,0,
42,"Mon, Dec 28, 2020",9:00p,Houston Rockets,111,Denver Nuggets,124,Box Score,,0,
43,"Mon, Dec 28, 2020",10:00p,Portland Trail Blazers,115,Los Angeles Lakers,107,Box Score,,0,
44,"Tue, Dec 29, 2020",7:00p,New York Knicks,95,Cleveland Cavaliers,86,Box Score,,300,
45,"Tue, Dec 29, 2020",7:00p,Golden State Warriors,116,Detroit Pistons,106,Box Score,,0,
46,"Tue, Dec 29, 2020",7:00p,Boston Celtics,116,Indiana Pacers,111,Box Score,,0,
47,"Tue, Dec 29, 2020",7:00p,Chicago Bulls,115,Washington Wizards,107,Box Score,,0,
48,"Tue, Dec 29, 2020",7:00p,Toronto Raptors,93,Philadelphia 76ers,100,Box Score,,0,
49,"Tue, Dec 29, 2020",7:30p,Milwaukee Bucks,144,Miami Heat,97,Box Score,,0,
50,"Tue, Dec 29, 2020",8:00p,Orlando Magic,118,Oklahoma City Thunder,107,Box Score,,0,
51,"Tue, Dec 29, 2020",10:00p,New Orleans Pelicans,86,Phoenix Suns,111,Box Score,,0,
52,"Tue, Dec 29, 2020",10:00p,Denver Nuggets,115,Sacramento Kings,125,Box Score,,0,
53,"Tue, Dec 29, 2020",10:00p,Minnesota Timberwolves,101,Los Angeles Clippers,124,Box Score,,0,
54,"Wed, Dec 30, 2020",7:30p,Milwaukee Bucks,108,Miami Heat,119,Box Score,,0,
55,"Wed, Dec 30, 2020",7:30p,Atlanta Hawks,141,Brooklyn Nets,145,Box Score,,0,
56,"Wed, Dec 30, 2020",7:30p,Memphis Grizzlies,107,Boston Celtics,126,Box Score,,0,
57,"Wed, Dec 30, 2020",8:30p,Charlotte Hornets,118,Dallas Mavericks,99,Box Score,,0,
58,"Wed, Dec 30, 2020",8:30p,Los Angeles Lakers,121,San Antonio Spurs,107,Box Score,,0,
59,"Wed, Dec 30, 2020",10:00p,Portland Trail Blazers,105,Los Angeles Clippers,128,Box Score,,0,
60,"Thu, Dec 31, 2020",3:00p,Cleveland Cavaliers,99,Indiana Pacers,119,Box Score,,0,
61,"Thu, Dec 31, 2020",5:00p,Chicago Bulls,133,Washington Wizards,130,Box Score,,0,
62,"Thu, Dec 31, 2020",6:30p,Philadelphia 76ers,116,Orlando Magic,92,Box Score,,"3,247",
63,"Thu, Dec 31, 2020",7:00p,Sacramento Kings,119,Houston Rockets,122,Box Score,,"3,247",
64,"Thu, Dec 31, 2020",7:30p,New York Knicks,83,Toronto Raptors,100,Box Score,,"3,449",
65,"Thu, Dec 31, 2020",8:00p,New Orleans Pelicans,113,Oklahoma City Thunder,80,Box Score,,0,
66,"Thu, Dec 31, 2020",9:00p,Phoenix Suns,106,Utah Jazz,95,Box Score,,"1,932",
67,"Fri, Jan 1, 2021",7:00p,Memphis Grizzlies,108,Charlotte Hornets,93,Box Score,,0,
68,"Fri, Jan 1, 2021",7:00p,Miami Heat,83,Dallas Mavericks,93,Box Score,,0,
69,"Fri, Jan 1, 2021",7:00p,Boston Celtics,93,Detroit Pistons,96,Box Score,,0,
70,"Fri, Jan 1, 2021",7:30p,Atlanta Hawks,114,Brooklyn Nets,96,Box Score,,0,
71,"Fri, Jan 1, 2021",8:00p,Chicago Bulls,96,Milwaukee Bucks,126,Box Score,,0,
72,"Fri, Jan 1, 2021",8:00p,Washington Wizards,130,Minnesota Timberwolves,109,Box Score,,0,
73,"Fri, Jan 1, 2021",8:00p,Los Angeles Lakers,109,San Antonio Spurs,103,Box Score,,0,
74,"Fri, Jan 1, 2021",9:00p,Phoenix Suns,106,Denver Nuggets,103,Box Score,,0,
75,"Fri, Jan 1, 2021",9:00p,Los Angeles Clippers,100,Utah Jazz,106,Box Score,,"1,932",
76,"Fri, Jan 1, 2021",10:30p,Portland Trail Blazers,123,Golden State Warriors,98,Box Score,,0,
77,"Sat, Jan 2, 2021",5:00p,Sacramento Kings,94,Houston Rockets,102,Box Score,,"3,065",
78,"Sat, Jan 2, 2021",7:00p,New York Knicks,106,Indiana Pacers,102,Box Score,,0,
79,"Sat, Jan 2, 2021",7:00p,Oklahoma City Thunder,108,Orlando Magic,99,Box Score,,"3,339",
80,"Sat, Jan 2, 2021",7:00p,Charlotte Hornets,112,Philadelphia 76ers,127,Box Score,,0,
81,"Sat, Jan 2, 2021",7:30p,Cleveland Cavaliers,96,Atlanta Hawks,91,Box Score,,0,
82,"Sat, Jan 2, 2021",7:30p,Toronto Raptors,116,New Orleans Pelicans,120,Box Score,,750,
83,"Sun, Jan 3, 2021",3:00p,Boston Celtics,122,Detroit Pistons,120,Box Score,,0,
84,"Sun, Jan 3, 2021",6:00p,Washington Wizards,123,Brooklyn Nets,122,Box Score,,0,
85,"Sun, Jan 3, 2021",6:00p,Los Angeles Lakers,108,Memphis Grizzlies,94,Box Score,,0,
86,"Sun, Jan 3, 2021",7:00p,Denver Nuggets,124,Minnesota Timberwolves,109,Box Score,,0,
87,"Sun, Jan 3, 2021",7:00p,Utah Jazz,130,San Antonio Spurs,109,Box Score,,0,
88,"Sun, Jan 3, 2021",8:00p,Dallas Mavericks,108,Chicago Bulls,118,Box Score,,0,
89,"Sun, Jan 3, 2021",8:00p,Los Angeles Clippers,112,Phoenix Suns,107,Box Score,,0,
90,"Sun, Jan 3, 2021",8:30p,Portland Trail Blazers,122,Golden State Warriors,137,Box Score,,0,
91,"Mon, Jan 4, 2021",7:00p,Cleveland Cavaliers,83,Orlando Magic,103,Box Score,,"2,726",
92,"Mon, Jan 4, 2021",7:00p,Charlotte Hornets,101,Philadelphia 76ers,118,Box Score,,0,
93,"Mon, Jan 4, 2021",7:30p,New York Knicks,113,Atlanta Hawks,108,Box Score,,0,
94,"Mon, Jan 4, 2021",7:30p,Oklahoma City Thunder,90,Miami Heat,118,Box Score,,0,
95,"Mon, Jan 4, 2021",7:30p,Boston Celtics,126,Toronto Raptors,114,Box Score,,"3,740",
96,"Mon, Jan 4, 2021",8:00p,Dallas Mavericks,113,Houston Rockets,100,Box Score,,"3,070",
97,"Mon, Jan 4, 2021",8:00p,Detroit Pistons,115,Milwaukee Bucks,125,Box Score,,0,
98,"Mon, Jan 4, 2021",8:00p,Indiana Pacers,118,New Orleans Pelicans,116,Box Score,OT,750,
99,"Mon, Jan 4, 2021",10:00p,Sacramento Kings,106,Golden State Warriors,137,Box Score,,0,
100,"Tue, Jan 5, 2021",7:30p,Utah Jazz,96,Brooklyn Nets,130,Box Score,,0,
101,"Tue, Jan 5, 2021",8:00p,Los Angeles Lakers,94,Memphis Grizzlies,92,Box Score,,0,
102,"Tue, Jan 5, 2021",9:00p,Minnesota Timberwolves,116,Denver Nuggets,123,Box Score,,0,
103,"Tue, Jan 5, 2021",10:00p,San Antonio Spurs,116,Los Angeles Clippers,113,Box Score,,0,
104,"Tue, Jan 5, 2021",10:30p,Chicago Bulls,111,Portland Trail Blazers,108,Box Score,,0,
105,"Wed, Jan 6, 2021",7:00p,Houston Rockets,107,Indiana Pacers,114,Box Score,,0,
106,"Wed, Jan 6, 2021",7:00p,Cleveland Cavaliers,94,Orlando Magic,105,Box Score,,"2,948",
107,"Wed, Jan 6, 2021",7:00p,Washington Wizards,136,Philadelphia 76ers,141,Box Score,,0,
108,"Wed, Jan 6, 2021",7:30p,Charlotte Hornets,102,Atlanta Hawks,94,Box Score,,0,
109,"Wed, Jan 6, 2021",7:30p,Boston Celtics,107,Miami Heat,105,Box Score,,0,
110,"Wed, Jan 6, 2021",7:30p,Utah Jazz,100,New York Knicks,112,Box Score,,0,
111,"Wed, Jan 6, 2021",8:00p,Detroit Pistons,115,Milwaukee Bucks,130,Box Score,,0,
112,"Wed, Jan 6, 2021",8:00p,Oklahoma City Thunder,111,New Orleans Pelicans,110,Box Score,,750,
113,"Wed, Jan 6, 2021",9:00p,Toronto Raptors,115,Phoenix Suns,123,Box Score,,0,
114,"Wed, Jan 6, 2021",10:00p,Los Angeles Clippers,108,Golden State Warriors,101,Box Score,,0,
115,"Wed, Jan 6, 2021",10:00p,Chicago Bulls,124,Sacramento Kings,128,Box Score,,0,
116,"Thu, Jan 7, 2021",7:30p,Philadelphia 76ers,109,Brooklyn Nets,122,Box Score,,0,
117,"Thu, Jan 7, 2021",8:00p,Cleveland Cavaliers,94,Memphis Grizzlies,90,Box Score,,0,
118,"Thu, Jan 7, 2021",10:00p,Dallas Mavericks,124,Denver Nuggets,117,Box Score,OT,0,
119,"Thu, Jan 7, 2021",10:00p,San Antonio Spurs,118,Los Angeles Lakers,109,Box Score,,0,
120,"Thu, Jan 7, 2021",10:00p,Minnesota Timberwolves,117,Portland Trail Blazers,135,Box Score,,0,
121,"Fri, Jan 8, 2021",7:00p,Phoenix Suns,105,Detroit Pistons,110,Box Score,OT,0,
122,"Fri, Jan 8, 2021",7:30p,Washington Wizards,107,Boston Celtics,116,Box Score,,0,
123,"Fri, Jan 8, 2021",7:30p,Charlotte Hornets,118,New Orleans Pelicans,110,Box Score,,750,
124,"Fri, Jan 8, 2021",7:30p,Oklahoma City Thunder,101,New York Knicks,89,Box Score,,0,
125,"Fri, Jan 8, 2021",8:00p,Orlando Magic,90,Houston Rockets,132,Box Score,,"3,039",
126,"Fri, Jan 8, 2021",8:00p,Brooklyn Nets,110,Memphis Grizzlies,115,Box Score,,0,
127,"Fri, Jan 8, 2021",8:00p,Utah Jazz,131,Milwaukee Bucks,118,Box Score,,0,
128,"Fri, Jan 8, 2021",10:00p,Los Angeles Clippers,105,Golden State Warriors,115,Box Score,,0,
129,"Fri, Jan 8, 2021",10:00p,Chicago Bulls,115,Los Angeles Lakers,117,Box Score,,0,
130,"Fri, Jan 8, 2021",10:00p,Toronto Raptors,144,Sacramento Kings,123,Box Score,,0,
131,"Sat, Jan 9, 2021",3:00p,Denver Nuggets,115,Philadelphia 76ers,103,Box Score,,0,
132,"Sat, Jan 9, 2021",7:00p,Atlanta Hawks,105,Charlotte Hornets,113,Box Score,,0,
133,"Sat, Jan 9, 2021",7:00p,Phoenix Suns,125,Indiana Pacers,117,Box Score,,0,
134,"Sat, Jan 9, 2021",7:00p,Miami Heat,128,Washington Wizards,124,Box Score,,0,
135,"Sat, Jan 9, 2021",8:00p,Cleveland Cavaliers,90,Milwaukee Bucks,100,Box Score,,0,
136,"Sat, Jan 9, 2021",8:00p,San Antonio Spurs,125,Minnesota Timberwolves,122,Box Score,OT,0,
137,"Sat, Jan 9, 2021",8:30p,Orlando Magic,98,Dallas Mavericks,112,Box Score,,0,
138,"Sat, Jan 9, 2021",10:00p,Portland Trail Blazers,125,Sacramento Kings,99,Box Score,,0,
139,"Sun, Jan 10, 2021",3:00p,Utah Jazz,96,Detroit Pistons,86,Box Score,,0,
140,"Sun, Jan 10, 2021",4:00p,Chicago Bulls,127,Los Angeles Clippers,130,Box Score,,0,
141,"Sun, Jan 10, 2021",6:00p,Oklahoma City Thunder,129,Brooklyn Nets,116,Box Score,,0,
142,"Sun, Jan 10, 2021",6:00p,Denver Nuggets,114,New York Knicks,89,Box Score,,0,
143,"Sun, Jan 10, 2021",7:00p,Los Angeles Lakers,120,Houston Rockets,102,Box Score,,"3,327",
144,"Sun, Jan 10, 2021",8:00p,San Antonio Spurs,88,Minnesota Timberwolves,96,Box Score,,0,
145,"Sun, Jan 10, 2021",8:30p,Toronto Raptors,105,Golden State Warriors,106,Box Score,,0,
146,"Mon, Jan 11, 2021",7:00p,New York Knicks,88,Charlotte Hornets,109,Box Score,,0,
147,"Mon, Jan 11, 2021",7:00p,Memphis Grizzlies,101,Cleveland Cavaliers,91,Box Score,,"1,944",
148,"Mon, Jan 11, 2021",7:00p,Milwaukee Bucks,121,Orlando Magic,99,Box Score,,"3,248",
149,"Mon, Jan 11, 2021",7:00p,Phoenix Suns,107,Washington Wizards,128,Box Score,,0,
150,"Mon, Jan 11, 2021",7:30p,Philadelphia 76ers,94,Atlanta Hawks,112,Box Score,,0,
151,"Mon, Jan 11, 2021",10:00p,Toronto Raptors,111,Portland Trail Blazers,112,Box Score,,0,
152,"Mon, Jan 11, 2021",10:00p,Indiana Pacers,122,Sacramento Kings,127,Box Score,,0,
153,"Tue, Jan 12, 2021",7:00p,Miami Heat,134,Philadelphia 76ers,137,Box Score,OT,0,
154,"Tue, Jan 12, 2021",7:30p,Denver Nuggets,116,Brooklyn Nets,122,Box Score,,0,
155,"Tue, Jan 12, 2021",7:30p,Utah Jazz,117,Cleveland Cavaliers,87,Box Score,,"1,944",
156,"Tue, Jan 12, 2021",8:00p,Los Angeles Lakers,117,Houston Rockets,100,Box Score,,"3,221",
157,"Tue, Jan 12, 2021",8:00p,San Antonio Spurs,112,Oklahoma City Thunder,102,Box Score,,0,
158,"Tue, Jan 12, 2021",10:30p,Indiana Pacers,104,Golden State Warriors,95,Box Score,,0,
159,"Wed, Jan 13, 2021",7:00p,Dallas Mavericks,104,Charlotte Hornets,93,Box Score,,0,
160,"Wed, Jan 13, 2021",7:00p,Milwaukee Bucks,110,Detroit Pistons,101,Box Score,,0,
161,"Wed, Jan 13, 2021",7:30p,Brooklyn Nets,116,New York Knicks,109,Box Score,,0,
162,"Wed, Jan 13, 2021",8:00p,Memphis Grizzlies,118,Minnesota Timberwolves,107,Box Score,,0,
163,"Wed, Jan 13, 2021",8:00p,Los Angeles Lakers,128,Oklahoma City Thunder,99,Box Score,,0,
164,"Wed, Jan 13, 2021",10:00p,New Orleans Pelicans,106,Los Angeles Clippers,111,Box Score,,0,
165,"Wed, Jan 13, 2021",10:00p,Portland Trail Blazers,132,Sacramento Kings,126,Box Score,,0,
166,"Thu, Jan 14, 2021",7:00p,Miami Heat,108,Philadelphia 76ers,125,Box Score,,0,
167,"Thu, Jan 14, 2021",7:30p,Houston Rockets,109,San Antonio Spurs,105,Box Score,,0,
168,"Thu, Jan 14, 2021",7:30p,Charlotte Hornets,108,Toronto Raptors,111,Box Score,,0,
169,"Thu, Jan 14, 2021",10:00p,Golden State Warriors,104,Denver Nuggets,114,Box Score,,0,
170,"Thu, Jan 14, 2021",10:00p,Indiana Pacers,111,Portland Trail Blazers,87,Box Score,,0,
171,"Fri, Jan 15, 2021",7:30p,Orlando Magic,97,Boston Celtics,124,Box Score,,0,
172,"Fri, Jan 15, 2021",7:30p,New York Knicks,103,Cleveland Cavaliers,106,Box Score,,"1,944",
173,"Fri, Jan 15, 2021",7:30p,Dallas Mavericks,109,Milwaukee Bucks,112,Box Score,,0,
174,"Fri, Jan 15, 2021",8:00p,Chicago Bulls,125,Oklahoma City Thunder,127,Box Score,OT,0,
175,"Fri, Jan 15, 2021",9:00p,Atlanta Hawks,92,Utah Jazz,116,Box Score,,"1,932",
176,"Fri, Jan 15, 2021",10:00p,New Orleans Pelicans,95,Los Angeles Lakers,112,Box Score,,0,
177,"Fri, Jan 15, 2021",10:00p,Los Angeles Clippers,138,Sacramento Kings,100,Box Score,,0,
