Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Mon, Jan 17, 2022",8:30p,Phoenix Suns,,San Antonio Spurs,,,,,
"Mon, Jan 17, 2022",10:30p,Utah Jazz,,Los Angeles Lakers,,,,,
"Tue, Jan 18, 2022",7:30p,Minnesota Timberwolves,,New York Knicks,,,,,
"Tue, Jan 18, 2022",10:00p,Detroit Pistons,,Golden State Warriors,,,,,
"Wed, Jan 19, 2022",7:00p,Orlando Magic,,Philadelphia 76ers,,,,,
"Wed, Jan 19, 2022",7:00p,Brooklyn Nets,,Washington Wizards,,,,,
"Wed, Jan 19, 2022",7:30p,Minnesota Timberwolves,,Atlanta Hawks,,,,,
"Wed, Jan 19, 2022",7:30p,Charlotte Hornets,,Boston Celtics,,,,,
"Wed, Jan 19, 2022",7:30p,Portland Trail Blazers,,Miami Heat,,,,,
"Wed, Jan 19, 2022",8:00p,Cleveland Cavaliers,,Chicago Bulls,,,,,
"Wed, Jan 19, 2022",8:00p,Memphis Grizzlies,,Milwaukee Bucks,,,,,
"Wed, Jan 19, 2022",8:30p,Toronto Raptors,,Dallas Mavericks,,,,,
"Wed, Jan 19, 2022",8:30p,Oklahoma City Thunder,,San Antonio Spurs,,,,,
"Wed, Jan 19, 2022",9:00p,Houston Rockets,,Utah Jazz,,,,,
"Wed, Jan 19, 2022",10:00p,Los Angeles Clippers,,Denver Nuggets,,,,,
"Wed, Jan 19, 2022",10:00p,Detroit Pistons,,Sacramento Kings,,,,,
"Wed, Jan 19, 2022",10:30p,Indiana Pacers,,Los Angeles Lakers,,,,,
"Thu, Jan 20, 2022",7:30p,New Orleans Pelicans,,New York Knicks,,,,,
"Thu, Jan 20, 2022",10:00p,Phoenix Suns,,Dallas Mavericks,,,,,
"Thu, Jan 20, 2022",10:00p,Indiana Pacers,,Golden State Warriors,,,,,
"Fri, Jan 21, 2022",7:00p,Oklahoma City Thunder,,Charlotte Hornets,,,,,
"Fri, Jan 21, 2022",7:00p,Los Angeles Lakers,,Orlando Magic,,,,,
"Fri, Jan 21, 2022",7:00p,Los Angeles Clippers,,Philadelphia 76ers,,,,,
"Fri, Jan 21, 2022",7:30p,Miami Heat,,Atlanta Hawks,,,,,
"Fri, Jan 21, 2022",7:30p,Portland Trail Blazers,,Boston Celtics,,,,,
"Fri, Jan 21, 2022",8:00p,Chicago Bulls,,Milwaukee Bucks,,,,,
"Fri, Jan 21, 2022",8:00p,Toronto Raptors,,Washington Wizards,,,,,
"Fri, Jan 21, 2022",8:30p,Brooklyn Nets,,San Antonio Spurs,,,,,
"Fri, Jan 21, 2022",9:00p,Memphis Grizzlies,,Denver Nuggets,,,,,
"Fri, Jan 21, 2022",9:00p,Detroit Pistons,,Utah Jazz,,,,,
"Fri, Jan 21, 2022",10:00p,Houston Rockets,,Golden State Warriors,,,,,
"Sat, Jan 22, 2022",8:00p,Oklahoma City Thunder,,Cleveland Cavaliers,,,,,
"Sat, Jan 22, 2022",8:00p,Sacramento Kings,,Milwaukee Bucks,,,,,
"Sat, Jan 22, 2022",9:00p,Indiana Pacers,,Phoenix Suns,,,,,
"Sun, Jan 23, 2022",1:00p,Los Angeles Clippers,,New York Knicks,,,,,
"Sun, Jan 23, 2022",3:30p,Boston Celtics,,Washington Wizards,,,,,
"Sun, Jan 23, 2022",6:00p,Los Angeles Lakers,,Miami Heat,,,,,
"Sun, Jan 23, 2022",6:00p,Chicago Bulls,,Orlando Magic,,,,,
"Sun, Jan 23, 2022",6:00p,Portland Trail Blazers,,Toronto Raptors,,,,,
"Sun, Jan 23, 2022",7:00p,Atlanta Hawks,,Charlotte Hornets,,,,,
"Sun, Jan 23, 2022",7:00p,Philadelphia 76ers,,San Antonio Spurs,,,,,
"Sun, Jan 23, 2022",7:30p,Memphis Grizzlies,,Dallas Mavericks,,,,,
"Sun, Jan 23, 2022",8:00p,Detroit Pistons,,Denver Nuggets,,,,,
"Sun, Jan 23, 2022",8:00p,Brooklyn Nets,,Minnesota Timberwolves,,,,,
"Sun, Jan 23, 2022",8:30p,Utah Jazz,,Golden State Warriors,,,,,
"Mon, Jan 24, 2022",7:00p,New York Knicks,,Cleveland Cavaliers,,,,,
"Mon, Jan 24, 2022",7:30p,Chicago Bulls,,Atlanta Hawks,,,,,
"Mon, Jan 24, 2022",8:00p,Philadelphia 76ers,,Houston Rockets,,,,,
"Mon, Jan 24, 2022",8:00p,Indiana Pacers,,New Orleans Pelicans,,,,,
"Mon, Jan 24, 2022",9:00p,Utah Jazz,,Phoenix Suns,,,,,
"Tue, Jan 25, 2022",7:00p,Denver Nuggets,,Detroit Pistons,,,,,
"Tue, Jan 25, 2022",7:00p,Charlotte Hornets,,Toronto Raptors,,,,,
"Tue, Jan 25, 2022",7:00p,Los Angeles Clippers,,Washington Wizards,,,,,
"Tue, Jan 25, 2022",7:30p,Sacramento Kings,,Boston Celtics,,,,,
"Tue, Jan 25, 2022",7:30p,Los Angeles Lakers,,Brooklyn Nets,,,,,
"Tue, Jan 25, 2022",8:00p,San Antonio Spurs,,Houston Rockets,,,,,
"Tue, Jan 25, 2022",10:00p,Dallas Mavericks,,Golden State Warriors,,,,,
"Tue, Jan 25, 2022",10:00p,Minnesota Timberwolves,,Portland Trail Blazers,,,,,
"Wed, Jan 26, 2022",7:00p,Milwaukee Bucks,,Cleveland Cavaliers,,,,,
"Wed, Jan 26, 2022",7:00p,Charlotte Hornets,,Indiana Pacers,,,,,
"Wed, Jan 26, 2022",7:00p,Los Angeles Clippers,,Orlando Magic,,,,,
"Wed, Jan 26, 2022",7:30p,Sacramento Kings,,Atlanta Hawks,,,,,
"Wed, Jan 26, 2022",7:30p,Toronto Raptors,,Brooklyn Nets,,,,,
"Wed, Jan 26, 2022",7:30p,New York Knicks,,Miami Heat,,,,,
"Wed, Jan 26, 2022",7:30p,Memphis Grizzlies,,San Antonio Spurs,,,,,
"Wed, Jan 26, 2022",8:00p,Denver Nuggets,,New Orleans Pelicans,,,,,
"Wed, Jan 26, 2022",8:00p,Chicago Bulls,,Oklahoma City Thunder,,,,,
"Wed, Jan 26, 2022",10:00p,Dallas Mavericks,,Portland Trail Blazers,,,,,
"Wed, Jan 26, 2022",10:00p,Phoenix Suns,,Utah Jazz,,,,,
"Thu, Jan 27, 2022",7:30p,Los Angeles Lakers,,Philadelphia 76ers,,,,,
"Thu, Jan 27, 2022",10:00p,Minnesota Timberwolves,,Golden State Warriors,,,,,
"Fri, Jan 28, 2022",7:00p,Los Angeles Lakers,,Charlotte Hornets,,,,,
"Fri, Jan 28, 2022",7:00p,Detroit Pistons,,Orlando Magic,,,,,
"Fri, Jan 28, 2022",7:30p,Boston Celtics,,Atlanta Hawks,,,,,
"Fri, Jan 28, 2022",8:00p,Portland Trail Blazers,,Houston Rockets,,,,,
"Fri, Jan 28, 2022",8:00p,Utah Jazz,,Memphis Grizzlies,,,,,
"Fri, Jan 28, 2022",8:00p,Los Angeles Clippers,,Miami Heat,,,,,
"Fri, Jan 28, 2022",8:00p,Indiana Pacers,,Oklahoma City Thunder,,,,,
"Fri, Jan 28, 2022",8:30p,Chicago Bulls,,San Antonio Spurs,,,,,
"Fri, Jan 28, 2022",9:00p,Minnesota Timberwolves,,Phoenix Suns,,,,,
"Fri, Jan 28, 2022",10:00p,New York Knicks,,Milwaukee Bucks,,,,,
"Sat, Jan 29, 2022",6:00p,Boston Celtics,,New Orleans Pelicans,,,,,
"Sat, Jan 29, 2022",7:00p,Indiana Pacers,,Dallas Mavericks,,,,,
"Sat, Jan 29, 2022",7:30p,Sacramento Kings,,Philadelphia 76ers,,,,,
"Sat, Jan 29, 2022",8:00p,Washington Wizards,,Memphis Grizzlies,,,,,
"Sat, Jan 29, 2022",8:00p,Toronto Raptors,,Miami Heat,,,,,
"Sat, Jan 29, 2022",8:30p,Brooklyn Nets,,Golden State Warriors,,,,,
"Sun, Jan 30, 2022",1:00p,Los Angeles Lakers,,Atlanta Hawks,,,,,
"Sun, Jan 30, 2022",1:00p,Los Angeles Clippers,,Charlotte Hornets,,,,,
"Sun, Jan 30, 2022",3:30p,Portland Trail Blazers,,Chicago Bulls,,,,,
"Sun, Jan 30, 2022",6:00p,Cleveland Cavaliers,,Detroit Pistons,,,,,
"Sun, Jan 30, 2022",7:00p,Denver Nuggets,,Milwaukee Bucks,,,,,
"Sun, Jan 30, 2022",7:00p,Dallas Mavericks,,Orlando Magic,,,,,
"Sun, Jan 30, 2022",8:00p,Utah Jazz,,Minnesota Timberwolves,,,,,
"Sun, Jan 30, 2022",8:00p,San Antonio Spurs,,Phoenix Suns,,,,,
"Mon, Jan 31, 2022",7:00p,New Orleans Pelicans,,Cleveland Cavaliers,,,,,
"Mon, Jan 31, 2022",7:00p,Los Angeles Clippers,,Indiana Pacers,,,,,
"Mon, Jan 31, 2022",7:00p,Memphis Grizzlies,,Philadelphia 76ers,,,,,
"Mon, Jan 31, 2022",7:30p,Miami Heat,,Boston Celtics,,,,,
"Mon, Jan 31, 2022",7:30p,Sacramento Kings,,New York Knicks,,,,,
"Mon, Jan 31, 2022",8:00p,Golden State Warriors,,Houston Rockets,,,,,
"Mon, Jan 31, 2022",8:00p,Portland Trail Blazers,,Oklahoma City Thunder,,,,,
