Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Sun, Dec 5, 2021",7:00p,New Orleans Pelicans,,Houston Rockets,,,,,
"Mon, Dec 6, 2021",7:00p,Philadelphia 76ers,,Charlotte Hornets,,,,,
"Mon, Dec 6, 2021",7:00p,Oklahoma City Thunder,,Detroit Pistons,,,,,
"Mon, Dec 6, 2021",7:00p,Washington Wizards,,Indiana Pacers,,,,,
"Mon, Dec 6, 2021",7:30p,Memphis Grizzlies,,Miami Heat,,,,,
"Mon, Dec 6, 2021",8:00p,Denver Nuggets,,Chicago Bulls,,,,,
"Mon, Dec 6, 2021",8:00p,Cleveland Cavaliers,,Milwaukee Bucks,,,,,
"Mon, Dec 6, 2021",8:00p,Atlanta Hawks,,Minnesota Timberwolves,,,,,
"Mon, Dec 6, 2021",9:00p,San Antonio Spurs,,Phoenix Suns,,,,,
"Mon, Dec 6, 2021",10:00p,Orlando Magic,,Golden State Warriors,,,,,
"Mon, Dec 6, 2021",10:00p,Los Angeles Clippers,,Portland Trail Blazers,,,,,
"Tue, Dec 7, 2021",7:30p,Brooklyn Nets,,Dallas Mavericks,,,,,
"Tue, Dec 7, 2021",8:30p,New York Knicks,,San Antonio Spurs,,,,,
"Tue, Dec 7, 2021",10:00p,Boston Celtics,,Los Angeles Lakers,,,,,
"Wed, Dec 8, 2021",7:00p,Philadelphia 76ers,,Charlotte Hornets,,,,,
"Wed, Dec 8, 2021",7:00p,Chicago Bulls,,Cleveland Cavaliers,,,,,
"Wed, Dec 8, 2021",7:00p,Washington Wizards,,Detroit Pistons,,,,,
"Wed, Dec 8, 2021",7:00p,New York Knicks,,Indiana Pacers,,,,,
"Wed, Dec 8, 2021",7:30p,Milwaukee Bucks,,Miami Heat,,,,,
"Wed, Dec 8, 2021",7:30p,Oklahoma City Thunder,,Toronto Raptors,,,,,
"Wed, Dec 8, 2021",8:00p,Brooklyn Nets,,Houston Rockets,,,,,
"Wed, Dec 8, 2021",8:00p,Dallas Mavericks,,Memphis Grizzlies,,,,,
"Wed, Dec 8, 2021",8:00p,Utah Jazz,,Minnesota Timberwolves,,,,,
"Wed, Dec 8, 2021",8:00p,Denver Nuggets,,New Orleans Pelicans,,,,,
"Wed, Dec 8, 2021",10:00p,Portland Trail Blazers,,Golden State Warriors,,,,,
"Wed, Dec 8, 2021",10:00p,Orlando Magic,,Sacramento Kings,,,,,
"Wed, Dec 8, 2021",10:30p,Boston Celtics,,Los Angeles Clippers,,,,,
"Thu, Dec 9, 2021",7:00p,Utah Jazz,,Philadelphia 76ers,,,,,
"Thu, Dec 9, 2021",8:00p,Los Angeles Lakers,,Memphis Grizzlies,,,,,
"Thu, Dec 9, 2021",8:30p,Denver Nuggets,,San Antonio Spurs,,,,,
"Fri, Dec 10, 2021",7:00p,Sacramento Kings,,Charlotte Hornets,,,,,
"Fri, Dec 10, 2021",7:00p,Dallas Mavericks,,Indiana Pacers,,,,,
"Fri, Dec 10, 2021",7:30p,Brooklyn Nets,,Atlanta Hawks,,,,,
"Fri, Dec 10, 2021",7:30p,New York Knicks,,Toronto Raptors,,,,,
"Fri, Dec 10, 2021",8:00p,Milwaukee Bucks,,Houston Rockets,,,,,
"Fri, Dec 10, 2021",8:00p,Cleveland Cavaliers,,Minnesota Timberwolves,,,,,
"Fri, Dec 10, 2021",8:00p,Detroit Pistons,,New Orleans Pelicans,,,,,
"Fri, Dec 10, 2021",8:00p,Los Angeles Lakers,,Oklahoma City Thunder,,,,,
"Fri, Dec 10, 2021",10:00p,Boston Celtics,,Phoenix Suns,,,,,
"Sat, Dec 11, 2021",3:30p,Orlando Magic,,Los Angeles Clippers,,,,,
"Sat, Dec 11, 2021",7:00p,Utah Jazz,,Washington Wizards,,,,,
"Sat, Dec 11, 2021",8:00p,Sacramento Kings,,Cleveland Cavaliers,,,,,
"Sat, Dec 11, 2021",8:00p,Houston Rockets,,Memphis Grizzlies,,,,,
"Sat, Dec 11, 2021",8:00p,Chicago Bulls,,Miami Heat,,,,,
"Sat, Dec 11, 2021",8:30p,Golden State Warriors,,Philadelphia 76ers,,,,,
"Sat, Dec 11, 2021",8:30p,Denver Nuggets,,San Antonio Spurs,,,,,
"Sun, Dec 12, 2021",12:00p,Milwaukee Bucks,,New York Knicks,,,,,
"Sun, Dec 12, 2021",6:00p,Brooklyn Nets,,Detroit Pistons,,,,,
"Sun, Dec 12, 2021",7:00p,Dallas Mavericks,,Oklahoma City Thunder,,,,,
"Sun, Dec 12, 2021",7:00p,New Orleans Pelicans,,San Antonio Spurs,,,,,
"Sun, Dec 12, 2021",9:00p,Minnesota Timberwolves,,Portland Trail Blazers,,,,,
"Sun, Dec 12, 2021",9:30p,Orlando Magic,,Los Angeles Lakers,,,,,
"Mon, Dec 13, 2021",7:00p,Miami Heat,,Cleveland Cavaliers,,,,,
"Mon, Dec 13, 2021",7:00p,Golden State Warriors,,Indiana Pacers,,,,,
"Mon, Dec 13, 2021",7:00p,Sacramento Kings,,Toronto Raptors,,,,,
"Mon, Dec 13, 2021",7:30p,Houston Rockets,,Atlanta Hawks,,,,,
"Mon, Dec 13, 2021",7:30p,Milwaukee Bucks,,Boston Celtics,,,,,
"Mon, Dec 13, 2021",8:00p,Philadelphia 76ers,,Memphis Grizzlies,,,,,
"Mon, Dec 13, 2021",8:30p,Charlotte Hornets,,Dallas Mavericks,,,,,
"Mon, Dec 13, 2021",9:00p,Washington Wizards,,Denver Nuggets,,,,,
"Mon, Dec 13, 2021",10:30p,Phoenix Suns,,Los Angeles Clippers,,,,,
"Tue, Dec 14, 2021",7:30p,Toronto Raptors,,Brooklyn Nets,,,,,
"Tue, Dec 14, 2021",7:30p,Golden State Warriors,,New York Knicks,,,,,
"Tue, Dec 14, 2021",8:00p,Detroit Pistons,,Chicago Bulls,,,,,
"Tue, Dec 14, 2021",10:00p,Phoenix Suns,,Portland Trail Blazers,,,,,
"Wed, Dec 15, 2021",7:00p,Houston Rockets,,Cleveland Cavaliers,,,,,
"Wed, Dec 15, 2021",7:00p,Atlanta Hawks,,Orlando Magic,,,,,
"Wed, Dec 15, 2021",7:00p,Miami Heat,,Philadelphia 76ers,,,,,
"Wed, Dec 15, 2021",7:30p,Los Angeles Lakers,,Dallas Mavericks,,,,,
"Wed, Dec 15, 2021",8:00p,Indiana Pacers,,Milwaukee Bucks,,,,,
"Wed, Dec 15, 2021",8:00p,New Orleans Pelicans,,Oklahoma City Thunder,,,,,
"Wed, Dec 15, 2021",8:30p,Charlotte Hornets,,San Antonio Spurs,,,,,
"Wed, Dec 15, 2021",9:00p,Minnesota Timberwolves,,Denver Nuggets,,,,,
"Wed, Dec 15, 2021",10:00p,Memphis Grizzlies,,Portland Trail Blazers,,,,,
"Wed, Dec 15, 2021",10:00p,Washington Wizards,,Sacramento Kings,,,,,
"Wed, Dec 15, 2021",10:00p,Los Angeles Clippers,,Utah Jazz,,,,,
"Thu, Dec 16, 2021",7:00p,Detroit Pistons,,Indiana Pacers,,,,,
"Thu, Dec 16, 2021",7:30p,Philadelphia 76ers,,Brooklyn Nets,,,,,
"Thu, Dec 16, 2021",7:30p,Chicago Bulls,,Toronto Raptors,,,,,
"Thu, Dec 16, 2021",8:00p,New York Knicks,,Houston Rockets,,,,,
"Thu, Dec 16, 2021",9:00p,Washington Wizards,,Phoenix Suns,,,,,
"Fri, Dec 17, 2021",7:00p,Miami Heat,,Orlando Magic,,,,,
"Fri, Dec 17, 2021",7:30p,Denver Nuggets,,Atlanta Hawks,,,,,
"Fri, Dec 17, 2021",7:30p,Golden State Warriors,,Boston Celtics,,,,,
"Fri, Dec 17, 2021",8:00p,Los Angeles Lakers,,Minnesota Timberwolves,,,,,
"Fri, Dec 17, 2021",9:00p,San Antonio Spurs,,Utah Jazz,,,,,
"Fri, Dec 17, 2021",10:00p,Milwaukee Bucks,,New Orleans Pelicans,,,,,
"Fri, Dec 17, 2021",10:00p,Charlotte Hornets,,Portland Trail Blazers,,,,,
"Fri, Dec 17, 2021",10:00p,Memphis Grizzlies,,Sacramento Kings,,,,,
"Sat, Dec 18, 2021",12:00p,Houston Rockets,,Detroit Pistons,,,,,
"Sat, Dec 18, 2021",7:30p,Orlando Magic,,Brooklyn Nets,,,,,
"Sat, Dec 18, 2021",7:30p,Golden State Warriors,,Toronto Raptors,,,,,
"Sat, Dec 18, 2021",8:00p,Los Angeles Clippers,,Oklahoma City Thunder,,,,,
"Sat, Dec 18, 2021",8:30p,New York Knicks,,Boston Celtics,,,,,
"Sat, Dec 18, 2021",9:00p,Cleveland Cavaliers,,Milwaukee Bucks,,,,,
"Sat, Dec 18, 2021",9:00p,Washington Wizards,,Utah Jazz,,,,,
"Sun, Dec 19, 2021",3:30p,Los Angeles Lakers,,Chicago Bulls,,,,,
"Sun, Dec 19, 2021",6:00p,Miami Heat,,Detroit Pistons,,,,,
"Sun, Dec 19, 2021",6:00p,Portland Trail Blazers,,Memphis Grizzlies,,,,,
"Sun, Dec 19, 2021",6:00p,San Antonio Spurs,,Sacramento Kings,,,,,
"Sun, Dec 19, 2021",7:30p,Cleveland Cavaliers,,Atlanta Hawks,,,,,
"Sun, Dec 19, 2021",7:30p,Denver Nuggets,,Brooklyn Nets,,,,,
"Sun, Dec 19, 2021",8:00p,Dallas Mavericks,,Minnesota Timberwolves,,,,,
"Sun, Dec 19, 2021",8:00p,New Orleans Pelicans,,Philadelphia 76ers,,,,,
"Sun, Dec 19, 2021",8:00p,Charlotte Hornets,,Phoenix Suns,,,,,
"Mon, Dec 20, 2021",7:30p,Philadelphia 76ers,,Boston Celtics,,,,,
"Mon, Dec 20, 2021",7:30p,Orlando Magic,,Toronto Raptors,,,,,
"Mon, Dec 20, 2021",8:00p,Houston Rockets,,Chicago Bulls,,,,,
"Mon, Dec 20, 2021",8:00p,Oklahoma City Thunder,,Memphis Grizzlies,,,,,
"Mon, Dec 20, 2021",9:00p,Charlotte Hornets,,Utah Jazz,,,,,
"Mon, Dec 20, 2021",10:00p,Sacramento Kings,,Golden State Warriors,,,,,
"Mon, Dec 20, 2021",10:30p,San Antonio Spurs,,Los Angeles Clippers,,,,,
"Tue, Dec 21, 2021",7:30p,Washington Wizards,,Brooklyn Nets,,,,,
"Tue, Dec 21, 2021",7:30p,Indiana Pacers,,Miami Heat,,,,,
"Tue, Dec 21, 2021",7:30p,Detroit Pistons,,New York Knicks,,,,,
"Tue, Dec 21, 2021",8:00p,Portland Trail Blazers,,New Orleans Pelicans,,,,,
"Tue, Dec 21, 2021",8:30p,Minnesota Timberwolves,,Dallas Mavericks,,,,,
"Tue, Dec 21, 2021",10:00p,Phoenix Suns,,Los Angeles Lakers,,,,,
"Wed, Dec 22, 2021",7:30p,Orlando Magic,,Atlanta Hawks,,,,,
"Wed, Dec 22, 2021",7:30p,Cleveland Cavaliers,,Boston Celtics,,,,,
"Wed, Dec 22, 2021",8:00p,Toronto Raptors,,Chicago Bulls,,,,,
"Wed, Dec 22, 2021",8:00p,Houston Rockets,,Milwaukee Bucks,,,,,
"Wed, Dec 22, 2021",8:00p,Denver Nuggets,,Oklahoma City Thunder,,,,,
"Wed, Dec 22, 2021",10:00p,Los Angeles Clippers,,Sacramento Kings,,,,,
"Thu, Dec 23, 2021",7:00p,Houston Rockets,,Indiana Pacers,,,,,
"Thu, Dec 23, 2021",7:00p,New Orleans Pelicans,,Orlando Magic,,,,,
"Thu, Dec 23, 2021",7:00p,Atlanta Hawks,,Philadelphia 76ers,,,,,
"Thu, Dec 23, 2021",7:30p,Detroit Pistons,,Miami Heat,,,,,
"Thu, Dec 23, 2021",7:30p,Washington Wizards,,New York Knicks,,,,,
"Thu, Dec 23, 2021",8:30p,Milwaukee Bucks,,Dallas Mavericks,,,,,
"Thu, Dec 23, 2021",9:00p,Charlotte Hornets,,Denver Nuggets,,,,,
"Thu, Dec 23, 2021",9:00p,Oklahoma City Thunder,,Phoenix Suns,,,,,
"Thu, Dec 23, 2021",9:00p,Minnesota Timberwolves,,Utah Jazz,,,,,
"Thu, Dec 23, 2021",10:00p,Memphis Grizzlies,,Golden State Warriors,,,,,
"Thu, Dec 23, 2021",10:00p,Brooklyn Nets,,Portland Trail Blazers,,,,,
"Thu, Dec 23, 2021",10:30p,San Antonio Spurs,,Los Angeles Lakers,,,,,
"Sat, Dec 25, 2021",12:00p,Atlanta Hawks,,New York Knicks,,,,,
"Sat, Dec 25, 2021",2:30p,Boston Celtics,,Milwaukee Bucks,,,,,
"Sat, Dec 25, 2021",5:00p,Golden State Warriors,,Phoenix Suns,,,,,
"Sat, Dec 25, 2021",8:00p,Brooklyn Nets,,Los Angeles Lakers,,,,,
"Sat, Dec 25, 2021",10:30p,Dallas Mavericks,,Utah Jazz,,,,,
"Sun, Dec 26, 2021",3:30p,Orlando Magic,,Miami Heat,,,,,
"Sun, Dec 26, 2021",6:00p,Toronto Raptors,,Cleveland Cavaliers,,,,,
"Sun, Dec 26, 2021",6:00p,Memphis Grizzlies,,Sacramento Kings,,,,,
"Sun, Dec 26, 2021",6:00p,Philadelphia 76ers,,Washington Wizards,,,,,
"Sun, Dec 26, 2021",7:00p,New Orleans Pelicans,,Oklahoma City Thunder,,,,,
"Sun, Dec 26, 2021",7:00p,Detroit Pistons,,San Antonio Spurs,,,,,
"Sun, Dec 26, 2021",8:00p,Indiana Pacers,,Chicago Bulls,,,,,
"Sun, Dec 26, 2021",9:00p,Denver Nuggets,,Los Angeles Clippers,,,,,
"Mon, Dec 27, 2021",7:00p,Houston Rockets,,Charlotte Hornets,,,,,
"Mon, Dec 27, 2021",7:30p,Chicago Bulls,,Atlanta Hawks,,,,,
"Mon, Dec 27, 2021",8:00p,Boston Celtics,,Minnesota Timberwolves,,,,,
"Mon, Dec 27, 2021",8:30p,Utah Jazz,,San Antonio Spurs,,,,,
"Mon, Dec 27, 2021",9:00p,Memphis Grizzlies,,Phoenix Suns,,,,,
"Mon, Dec 27, 2021",10:00p,Dallas Mavericks,,Portland Trail Blazers,,,,,
"Mon, Dec 27, 2021",10:30p,Brooklyn Nets,,Los Angeles Clippers,,,,,
"Tue, Dec 28, 2021",7:00p,Milwaukee Bucks,,Orlando Magic,,,,,
"Tue, Dec 28, 2021",7:30p,Washington Wizards,,Miami Heat,,,,,
"Tue, Dec 28, 2021",7:30p,Philadelphia 76ers,,Toronto Raptors,,,,,
"Tue, Dec 28, 2021",8:00p,Los Angeles Lakers,,Houston Rockets,,,,,
"Tue, Dec 28, 2021",8:00p,New York Knicks,,Minnesota Timberwolves,,,,,
"Tue, Dec 28, 2021",8:00p,Cleveland Cavaliers,,New Orleans Pelicans,,,,,
"Tue, Dec 28, 2021",10:00p,Denver Nuggets,,Golden State Warriors,,,,,
"Tue, Dec 28, 2021",10:00p,Oklahoma City Thunder,,Sacramento Kings,,,,,
"Wed, Dec 29, 2021",7:00p,New York Knicks,,Detroit Pistons,,,,,
"Wed, Dec 29, 2021",7:00p,Charlotte Hornets,,Indiana Pacers,,,,,
"Wed, Dec 29, 2021",7:30p,Los Angeles Clippers,,Boston Celtics,,,,,
"Wed, Dec 29, 2021",8:00p,Atlanta Hawks,,Chicago Bulls,,,,,
"Wed, Dec 29, 2021",8:00p,Los Angeles Lakers,,Memphis Grizzlies,,,,,
"Wed, Dec 29, 2021",8:30p,Miami Heat,,San Antonio Spurs,,,,,
"Wed, Dec 29, 2021",9:00p,Oklahoma City Thunder,,Phoenix Suns,,,,,
"Wed, Dec 29, 2021",10:00p,Utah Jazz,,Portland Trail Blazers,,,,,
"Wed, Dec 29, 2021",10:30p,Dallas Mavericks,,Sacramento Kings,,,,,
"Thu, Dec 30, 2021",7:00p,Philadelphia 76ers,,Brooklyn Nets,,,,,
"Thu, Dec 30, 2021",7:00p,Milwaukee Bucks,,Orlando Magic,,,,,
"Thu, Dec 30, 2021",7:00p,Cleveland Cavaliers,,Washington Wizards,,,,,
"Thu, Dec 30, 2021",9:30p,Golden State Warriors,,Denver Nuggets,,,,,
"Fri, Dec 31, 2021",1:00p,Phoenix Suns,,Boston Celtics,,,,,
"Fri, Dec 31, 2021",3:00p,Chicago Bulls,,Indiana Pacers,,,,,
"Fri, Dec 31, 2021",6:00p,Dallas Mavericks,,Sacramento Kings,,,,,
"Fri, Dec 31, 2021",7:00p,Miami Heat,,Houston Rockets,,,,,
"Fri, Dec 31, 2021",7:30p,Atlanta Hawks,,Cleveland Cavaliers,,,,,
"Fri, Dec 31, 2021",7:30p,Los Angeles Clippers,,Toronto Raptors,,,,,
"Fri, Dec 31, 2021",8:00p,San Antonio Spurs,,Memphis Grizzlies,,,,,
"Fri, Dec 31, 2021",8:00p,New York Knicks,,Oklahoma City Thunder,,,,,
"Fri, Dec 31, 2021",9:00p,Minnesota Timberwolves,,Utah Jazz,,,,,
"Fri, Dec 31, 2021",10:30p,Portland Trail Blazers,,Los Angeles Lakers,,,,,
