,Team,Odds,W-L O/U,Result,Wins,Wins - Predicted Wins
11,Washington Wizards,11000,45.5, 32-50 (under),32,-13.5
9,New Orleans Pelicans,10000,45.5, 33-49 (under),33,-12.5
3,Los Angeles Lakers,1800,48.5, 37-45 (under),37,-11.5
21,Cleveland Cavaliers,50000,30.5, 19-63 (under),19,-11.5
18,New York Knicks,35000,28.5, 17-65 (under),17,-11.5
1,Boston Celtics,620,59.0, 49-33 (under),49,-10.0
26,Phoenix Suns,75000,29.0, 19-63 (under),19,-10.0
22,Chicago Bulls,50000,30.0, 22-60 (under),22,-8.0
0,Golden State Warriors,-168,62.5, 57-25 (under),57,-5.5
14,Minnesota Timberwolves,25000,41.5, 36-46 (under),36,-5.5
16,Miami Heat,35000,43.0, 39-43 (under),39,-4.0
2,Houston Rockets,1000,56.5, 53-29 (under),53,-3.5
19,Dallas Mavericks,35000,35.5, 33-49 (under),33,-2.5
5,Philadelphia 76ers,2000,53.5, 51-31 (under),51,-2.5
24,Memphis Grizzlies,65000,34.5, 33-49 (under),33,-1.5
6,Oklahoma City Thunder,3800,48.5, 49-33 (over),49,0.5
12,Indiana Pacers,12500,47.5, 48-34 (over),48,0.5
7,Utah Jazz,10000,49.5, 50-32 (over),50,0.5
17,Detroit Pistons,35000,38.5, 41-41 (over),41,2.5
4,Toronto Raptors,1850,55.5, 58-24 (over),58,2.5
23,Charlotte Hornets,50000,35.5, 39-43 (over),39,3.5
8,San Antonio Spurs,10000,43.5, 48-34 (over),48,4.5
28,Atlanta Hawks,150000,23.5, 29-53 (over),29,5.5
13,Denver Nuggets,20000,47.5, 54-28 (over),54,6.5
27,Brooklyn Nets,125000,32.0, 42-40 (over),42,10.0
20,Los Angeles Clippers,40000,37.0, 48-34 (over),48,11.0
25,Orlando Magic,75000,31.0, 42-40 (over),42,11.0
15,Portland Trail Blazers,30000,42.0, 53-29 (over),53,11.0
10,Milwaukee Bucks,10000,48.0, 60-22 (over),60,12.0
29,Sacramento Kings,200000,26.0, 39-43 (over),39,13.0
