Team,Pts
Milwaukee Bucks,117.29896907216495
Golden State Warriors,116.9326923076923
New Orleans Pelicans,115.4390243902439
Los Angeles Clippers,115.11363636363636
Philadelphia 76ers,114.35106382978724
Sacramento Kings,114.1829268292683
Washington Wizards,114.02439024390245
Oklahoma City Thunder,113.94252873563218
Portland Trail Blazers,113.84693877551021
Atlanta Hawks,113.34146341463415
Houston Rockets,113.27956989247312
Toronto Raptors,112.66037735849056
Minnesota Timberwolves,112.47560975609755
Brooklyn Nets,112.19540229885058
Los Angeles Lakers,111.76829268292683
Boston Celtics,111.37362637362638
San Antonio Spurs,111.0
Utah Jazz,110.91954022988506
Charlotte Hornets,110.7439024390244
Denver Nuggets,110.44791666666667
Dallas Mavericks,108.86585365853658
Phoenix Suns,107.5
Indiana Pacers,107.25581395348837
Detroit Pistons,106.62790697674419
Orlando Magic,106.4367816091954
Miami Heat,105.70731707317073
Chicago Bulls,104.9390243902439
New York Knicks,104.57317073170732
Cleveland Cavaliers,104.47560975609755
Memphis Grizzlies,103.53658536585365
