,Team,Odds,W-L O/U,Result,Wins,Wins - Predicted Wins
18,Memphis Grizzlies,37000,37.5, 22-60 (under),22,-15.5
19,Dallas Mavericks,50000,35.5, 24-58 (under),24,-11.5
0,Golden State Warriors,-187,67.5, 58-24 (under),58,-9.5
27,Orlando Magic,250000,33.5, 25-57 (under),25,-8.5
3,San Antonio Spurs,1800,55.0, 47-35 (under),47,-8.0
23,Phoenix Suns,125000,28.5, 21-61 (under),21,-7.5
20,Charlotte Hornets,50000,42.5, 36-46 (under),36,-6.5
4,Oklahoma City Thunder,2150,53.5, 48-34 (under),48,-5.5
8,Washington Wizards,9000,48.5, 43-39 (under),43,-5.5
7,Milwaukee Bucks,8000,47.5, 44-38 (under),44,-3.5
1,Cleveland Cavaliers,515,53.5, 50-32 (under),50,-3.5
26,Atlanta Hawks,200000,25.5, 24-58 (under),24,-1.5
6,Minnesota Timberwolves,5000,48.5, 47-35 (under),47,-1.5
10,Los Angeles Clippers,19000,43.5, 42-40 (under),42,-1.5
22,New York Knicks,100000,30.5, 29-53 (under),29,-1.5
24,Sacramento Kings,125000,27.5, 27-55 (under),27,-0.5
21,Detroit Pistons,63000,38.5, 39-43 (over),39,0.5
14,Miami Heat,24000,43.5, 44-38 (over),44,0.5
28,Brooklyn Nets,250000,27.5, 28-54 (over),28,0.5
12,Denver Nuggets,20000,45.5, 46-36 (over),46,0.5
16,Los Angeles Lakers,30000,33.5, 35-47 (over),35,1.5
2,Boston Celtics,1200,53.5, 55-27 (over),55,1.5
29,Chicago Bulls,250000,22.0, 27-55 (over),27,5.0
17,Portland Trail Blazers,31500,42.5, 49-33 (over),49,6.5
15,Utah Jazz,25000,40.5, 48-34 (over),48,7.5
13,New Orleans Pelicans,22000,39.5, 48-34 (over),48,8.5
5,Houston Rockets,2150,55.5, 65-17 (over),65,9.5
9,Toronto Raptors,15000,48.5, 59-23 (over),59,10.5
11,Philadelphia 76ers,19000,39.5, 52-30 (over),52,12.5
25,Indiana Pacers,125000,31.5, 48-34 (over),48,16.5
