,Team,Odds,W-L O/U,Result
0,Golden State Warriors,-187,67.5, 58-24 (under)
1,Cleveland Cavaliers,515,53.5, 50-32 (under)
2,Boston Celtics,1200,53.5, 55-27 (over)
3,San Antonio Spurs,1800,55.0, 47-35 (under)
4,Oklahoma City Thunder,2150,53.5, 48-34 (under)
5,Houston Rockets,2150,55.5, 65-17 (over)
6,Minnesota Timberwolves,5000,48.5, 47-35 (under)
7,Milwaukee Bucks,8000,47.5, 44-38 (under)
8,Washington Wizards,9000,48.5, 43-39 (under)
9,Toronto Raptors,15000,48.5, 59-23 (over)
10,Los Angeles Clippers,19000,43.5, 42-40 (under)
11,Philadelphia 76ers,19000,39.5, 52-30 (over)
12,Denver Nuggets,20000,45.5, 46-36 (over)
13,New Orleans Pelicans,22000,39.5, 48-34 (over)
14,Miami Heat,24000,43.5, 44-38 (over)
15,Utah Jazz,25000,40.5, 48-34 (over)
16,Los Angeles Lakers,30000,33.5, 35-47 (over)
17,Portland Trail Blazers,31500,42.5, 49-33 (over)
18,Memphis Grizzlies,37000,37.5, 22-60 (under)
19,Dallas Mavericks,50000,35.5, 24-58 (under)
20,Charlotte Hornets,50000,42.5, 36-46 (under)
21,Detroit Pistons,63000,38.5, 39-43 (over)
22,New York Knicks,100000,30.5, 29-53 (under)
23,Phoenix Suns,125000,28.5, 21-61 (under)
24,Sacramento Kings,125000,27.5, 27-55 (under)
25,Indiana Pacers,125000,31.5, 48-34 (over)
26,Atlanta Hawks,200000,25.5, 24-58 (under)
27,Orlando Magic,250000,33.5, 25-57 (under)
28,Brooklyn Nets,250000,27.5, 28-54 (over)
29,Chicago Bulls,250000,22.0, 27-55 (over)
