,Team,Odds,W-L O/U,Result
0,Los Angeles Lakers,275,47.5, 42-30 (under)
1,Milwaukee Bucks,550,49.5, 46-26 (under)
2,Brooklyn Nets,600,45.5, 48-24 (over)
3,Los Angeles Clippers,650,46.5, 47-25 (over)
4,Boston Celtics,1400,44.5, 36-36 (under)
5,Miami Heat,1600,43.5, 40-32 (under)
6,Denver Nuggets,1800,44.5, 47-25 (over)
7,Golden State Warriors,2500,37.5, 39-33 (over)
8,Toronto Raptors,2500,42.5, 27-45 (under)
9,Philadelphia 76ers,2500,43.5, 49-23 (over)
10,Dallas Mavericks,2500,42.5, 42-30 (under)
11,Utah Jazz,4000,41.5, 52-20 (over)
12,Portland Trail Blazers,4000,40.5, 42-30 (over)
13,Phoenix Suns,4000,38.5, 51-21 (over)
14,Houston Rockets,5000,34.5, 17-55 (under)
15,New Orleans Pelicans,6500,36.5, 31-41 (under)
16,Atlanta Hawks,10000,34.5, 41-31 (over)
17,Indiana Pacers,10000,38.5, 34-38 (under)
18,Washington Wizards,10000,32.5, 34-38 (over)
19,Memphis Grizzlies,15000,31.5, 38-34 (over)
20,Minnesota Timberwolves,20000,29.5, 23-49 (under)
21,Oklahoma City Thunder,20000,22.5, 22-50 (under)
22,Orlando Magic,20000,31.5, 21-51 (under)
23,Chicago Bulls,25000,29.5, 31-41 (over)
24,Charlotte Hornets,25000,26.5, 33-39 (over)
25,Sacramento Kings,25000,28.5, 31-41 (over)
26,San Antonio Spurs,25000,28.5, 33-39 (over)
27,New York Knicks,50000,21.5, 41-31 (over)
28,Cleveland Cavaliers,50000,22.5, 22-50 (under)
29,Detroit Pistons,50000,23.5, 20-52 (under)
