,Unnamed: 0,id,Date,v,final_v,ml_v,h,final_h,ml_h,total_open,total_close,spread_open,spread_close,v_win_prob,h_win_prob,actual_spread,pred_spread,hw_prob,margin,spread_diff_vegas,vegas_spread_winprob,bet_size,pred_error,spread_outcome,bet_outcome
10,10,10,1223,Detroit,101,190,Minnesota,111,-220,227.0,224.5,-5.5,-5.5,0.3340292275574112,0.6659707724425887,10,-4.5950475217873565,0.6243401941409452,-10,0.9049524782126435,0.4749,-0.000677499999999992,-5.4049524782126435,-1,1
11,11,11,1223,Sacramento,124,260,Denver,122,-310,224.5,227.5,-8.0,-7.5,0.2686762778505897,0.7313237221494101,-2,-9.403070836787355,0.7416652000083245,2,-1.9030708367873554,0.5526,0.01511499999999999,11.403070836787355,1,1
12,12,12,1223,Utah,120,-130,Portland,100,110,229.0,226.0,-1.5,1.5,0.5427435387673957,0.4572564612326044,-20,-0.6688019707873569,0.5183944005690058,20,-2.168801970787357,0.5599000000000001,0.01894750000000005,20.668801970787356,1,1
13,13,13,1223,Dallas,102,100,Phoenix,106,-120,237.0,232.5,-0.0,-1.5,0.4782608695652174,0.5217391304347826,4,0.8728982042126434,0.4759982221767717,-4,2.3728982042126434,0.4346,-0.02183500000000004,-4.872898204212643,-1,1
14,14,14,1225,NewOrleans,98,130,Miami,111,-150,229.0,221.0,-5.0,-3.0,0.4201680672268907,0.5798319327731092,13,-4.608798528787357,0.6246999468916716,-13,-1.6087985287873572,0.5445,0.010862499999999964,-8.391201471212643,-1,0
15,15,15,1225,GoldenState,99,450,Milwaukee,138,-600,233.5,230.5,-8.5,-10.0,0.175,0.8250000000000001,39,-7.334076218787357,0.6935008950011308,-39,2.6659237812126433,0.4266,-0.026034999999999992,-31.665923781212644,-1,1
16,16,16,1225,Brooklyn,123,-145,Boston,95,125,227.0,229.5,-0.0,3.0,0.5711159737417943,0.4288840262582056,-28,-0.6416153357873569,0.5176471709554649,28,-3.641615335787357,0.5998,0.03989499999999999,28.641615335787357,1,1
17,17,17,1225,Dallas,115,225,LALakers,138,-265,230.0,226.0,-6.5,-6.0,0.2976554536187564,0.7023445463812437,23,-3.841040666787357,0.6044565028993475,-23,2.158959333212643,0.4404,-0.01879000000000002,-19.158959333212643,-1,1
18,18,18,1225,LAClippers,121,-160,Denver,108,140,222.0,226.5,2.0,3.5,0.5962732919254659,0.4037267080745341,-13,-0.1111517297873563,0.5030581165706276,13,-3.6111517297873563,0.599,0.03947500000000003,13.111151729787355,1,1
19,19,19,1226,Atlanta,122,120,Memphis,112,-140,237.5,238.5,1.0,-2.5,0.437956204379562,0.562043795620438,-10,0.160017579212643,0.4955974839851647,10,2.660017579212643,0.42669999999999997,-0.025982500000000044,9.839982420787358,1,0
20,20,20,1226,Cleveland,128,-110,Detroit,119,-110,220.0,214.0,-3.0,-0.0,0.5,0.5,-9,-1.702869492787357,0.5467440189241604,9,-1.702869492787357,0.5470999999999999,0.012227499999999942,10.702869492787357,1,1
21,21,21,1226,Orlando,130,110,Washington,120,-130,228.5,232.0,-1.0,-1.5,0.4572564612326044,0.5427435387673957,-10,-1.6867559447873566,0.5463037007616314,10,-0.18675594478735658,0.5052,0.0,11.686755944787357,1,0
22,22,22,1226,OklahomaCity,109,125,Charlotte,107,-145,218.5,219.5,-3.0,-3.0,0.4288840262582056,0.5711159737417943,-2,-3.190504897787357,0.5870779818442919,2,-0.19050489778735713,0.5053000000000001,0.0,5.190504897787357,1,0
23,23,23,1226,Philadelphia,109,-360,NewYork,89,300,219.0,215.0,8.0,8.0,0.7578947368421054,0.2421052631578947,-20,10.385686062212644,0.236917197282199,20,2.3856860622126437,0.43420000000000003,-0.02204499999999996,9.614313937787356,1,0
24,24,24,1226,Indiana,125,-240,Chicago,106,200,222.5,223.5,3.0,6.0,0.6792452830188679,0.320754716981132,-19,3.421699033212643,0.4067243882683938,19,-2.578300966787357,0.5710999999999999,0.024827499999999926,15.578300966787356,1,1
25,25,25,1226,Toronto,114,-145,SanAntonio,119,125,225.5,228.5,2.0,2.5,0.5711159737417943,0.4288840262582056,5,5.810261818212643,0.3443176662474398,-5,3.310261818212643,0.4091,-0.035222500000000004,-10.810261818212643,-1,1
26,26,26,1226,Minnesota,116,375,Utah,111,-450,225.5,229.0,-8.0,-9.5,0.2046511627906976,0.7953488372093024,-5,-7.316396344787357,0.6930727391939497,5,2.183603655212643,0.4397,-0.019157499999999973,12.316396344787357,1,0
27,27,27,1226,Phoenix,103,-160,Sacramento,106,140,230.0,227.0,4.5,3.5,0.5962732919254659,0.4037267080745341,3,3.939558488212644,0.3929287771970632,-3,0.439558488212644,0.4878,0.0,-6.9395584882126435,-1,0
28,28,28,1226,Houston,126,300,Portland,128,-360,225.0,225.5,-8.5,-7.5,0.2421052631578947,0.7578947368421054,2,-4.235472082787357,0.6148954988526447,-2,3.264527917212643,0.4103,-0.03459249999999999,2.235472082787357,1,0
29,29,29,1227,Dallas,124,140,LAClippers,73,-160,230.0,226.5,-4.5,-3.0,0.4037267080745341,0.5962732919254659,-51,-3.303544395787357,0.5901110502273343,51,-0.30354439578735715,0.5084,0.0,54.303544395787355,1,0
30,30,30,1227,SanAntonio,95,170,NewOrleans,98,-190,226.5,227.5,-5.5,-5.0,0.361145703611457,0.6388542963885429,3,-5.278351433787357,0.6420800445581953,-3,-0.27835143378735694,0.5077,0.0,2.278351433787357,1,0
31,31,31,1227,Orlando,120,-130,Washington,113,110,225.5,231.0,-1.5,2.0,0.5427435387673957,0.4572564612326044,-7,-1.6867559447873566,0.5463037007616314,7,-3.6867559447873566,0.601,0.040525,8.686755944787357,1,1
32,32,32,1227,Brooklyn,104,-600,Charlotte,106,450,224.0,233.0,7.5,11.5,0.8250000000000001,0.175,2,8.685379282212644,0.2745892181716709,-2,-2.8146207177873563,0.5775,0.02818750000000001,-10.685379282212644,-1,0
33,33,33,1227,Philadelphia,94,-240,Cleveland,118,200,218.5,218.0,5.5,6.0,0.6792452830188679,0.320754716981132,24,9.764694367212645,0.2503377752386699,-24,3.7646943672126447,0.39690000000000003,-0.041627499999999984,-33.76469436721264,-1,1
34,34,34,1227,Milwaukee,110,-1200,NewYork,130,750,223.5,222.0,11.0,13.0,0.8869565217391304,0.1130434782608695,20,13.651857244212644,0.1732224504127064,-20,0.6518572442126445,0.4819,0.0,-33.65185724421264,-1,0
35,35,35,1227,Boston,107,-135,Indiana,108,115,219.0,220.5,-3.0,3.0,0.552594002855783,0.447405997144217,1,1.939875939212643,0.4467864733123458,-1,-1.060124060787357,0.5293,0.0028825000000000213,-2.939875939212643,-1,0
36,36,36,1227,GoldenState,129,-165,Chicago,128,145,226.0,229.5,2.0,3.5,0.6040343668285393,0.3959656331714605,-1,3.0972609522126437,0.4154278605284008,1,-0.40273904778735625,0.5112,0.0,-2.0972609522126437,-1,0
37,37,37,1227,Phoenix,116,-160,Sacramento,100,140,224.5,225.5,3.5,3.0,0.5962732919254659,0.4037267080745341,-16,3.939558488212644,0.3929287771970632,16,0.939558488212644,0.474,-0.0011500000000000288,12.060441511787356,1,0
38,38,38,1228,Minnesota,91,400,LALakers,127,-500,224.0,229.0,-11.0,-10.5,0.1935483870967742,0.8064516129032258,36,-10.497405829787358,0.7654545537565483,-36,0.0025941702126424104,0.4999,0.0,-25.502594170212642,-1,0
39,39,39,1228,Memphis,116,-125,Brooklyn,111,105,235.0,227.5,-7.0,1.5,0.5324675324675325,0.4675324675324675,-5,-8.207013769787356,0.7143034325201789,5,-9.707013769787356,0.7499,0.11869750000000001,13.207013769787356,1,1
