Team,Elo
Milwaukee,1581.0
LALakers,1569.0
LAClippers,1563.0
Brooklyn,1557.0
Boston,1551.0
Denver,1551.0
Miami,1545.0
Philadelphia,1545.0
Toronto,1539.0
Dallas,1539.0
Utah,1533.0
Portland,1527.0
Phoenix,1515.0
Indiana,1515.0
GoldenState,1509.0
NewOrleans,1503.0
Atlanta,1491.0
Houston,1491.0
Washington,1479.0
Memphis,1473.0
Orlando,1473.0
Minnesota,1461.0
Chicago,1461.0
Sacramento,1455.0
SanAntonio,1455.0
Charlotte,1443.0
Detroit,1425.0
OklahomaCity,1419.0
Cleveland,1419.0
NewYork,1413.0
