,Unnamed: 0,Date,v,final_v,ml_v,h,final_h,ml_h,total_open,total_close,spread_open,spread_close,gameid,margin,vegas_home_win_prob,vegas_away_win_prob,home_rating,away_rating,home_win_prob,away_win_prob,pred_spread,spread_diff_vegas,vegas_spread_winprob,bet_size,bet_team,pred_error,spread_outcome,home_win_ats,pred_correct,wealth
0,0,1019,Brooklyn,104,105,Milwaukee,127,-125,240.5,233.5,-0.0,-1.5,B104M127,-23,0.5556,0.4878,1581.0,1593.0,0.5771,0.42290000000000005,-1.9285714285714286,-0.4285714285714286,0.5122,0.0,,-21.071428571428573,-1,-1,0.0,1000.0
1,1,1019,GoldenState,121,140,LALakers,114,-160,230.5,226.5,-4.5,-3.5,G121L114,7,0.6154,0.4167,1569.0,1545.0,0.6267,0.37329999999999997,-3.2142857142857144,0.2857142857142856,0.4919,0.0,,10.214285714285715,1,1,0.0,1000.0
2,2,1020,Indiana,122,-125,Charlotte,123,105,228.5,223.0,-2.0,1.5,I122C123,-1,0.4878,0.5556,1485.0,1509.0,0.5602,0.43979999999999997,-1.5,-3.0,0.5848,-0.03201999999999995,,0.5,1,-1,0.0,1029.1090909090908
3,3,1020,Chicago,94,-220,Detroit,88,190,220.5,218.0,2.5,5.0,C94D88,6,0.3448,0.6875,1401.0,1509.0,0.4398,0.5602,1.5,-3.5,0.5987,-0.0393175,,4.5,1,1,1.0,988.6470942272726
4,4,1020,Washington,98,120,Toronto,83,-140,220.0,223.0,-3.5,-2.5,W98T83,15,0.5833,0.4545,1467.0,1455.0,0.6104,0.38959999999999995,-2.7857142857142856,-0.2857142857142856,0.5081,0.0,,17.785714285714285,1,1,1.0,988.6470942272726
5,5,1020,Boston,134,120,NewYork,138,-140,217.5,220.0,-1.0,-2.5,B134N138,-4,0.5833,0.4545,1503.0,1527.0,0.5602,0.43979999999999997,-1.5,1.0,0.47150000000000003,0.0024624999999999955,Boston,-2.5,-1,-1,1.0,986.212550757738
6,6,1020,Cleveland,121,240,Memphis,132,-280,217.5,218.5,-8.0,-7.0,C121M132,-11,0.7368,0.2941,1503.0,1413.0,0.7105,0.2895,-5.571428571428571,1.4285714285714288,0.45940000000000003,0.008814999999999967,Cleveland,-5.428571428571429,-1,-1,1.0,977.5190871228085
7,7,1020,Philadelphia,117,-170,NewOrleans,97,150,227.5,224.0,1.5,4.0,P117N97,20,0.4,0.6296,1491.0,1557.0,0.5,0.5,0.0,-4.0,0.6125,-0.04656250000000003,,20.0,1,1,1.0,932.0033546286527
8,8,1020,Houston,106,220,Minnesota,124,-260,228.5,232.0,-4.5,-6.5,H106M124,-18,0.7222,0.3125,1467.0,1419.0,0.6584,0.3416,-4.071428571428571,2.428571428571429,0.43110000000000004,0.02367249999999993,Houston,-13.928571428571429,-1,-1,1.0,909.940505216206
9,9,1020,Orlando,97,225,SanAntonio,123,-265,215.5,212.5,-5.5,-7.0,O97S123,-26,0.726,0.3077,1425.0,1389.0,0.6427,0.35729999999999995,-3.642857142857143,3.357142857142857,0.4052,0.03727,Orlando,-22.357142857142858,-1,-1,1.0,876.027022586798
10,10,1020,OklahomaCity,86,750,Utah,107,-1200,221.5,221.5,-11.5,-14.0,O86U107,-21,0.9231,0.1176,1569.0,1395.0,0.7992,0.20079999999999998,-8.571428571428571,5.428571428571429,0.34909999999999997,0.06672250000000006,OklahomaCity,-12.428571428571429,-1,-1,1.0,817.5763095722504
11,11,1020,Sacramento,124,220,Portland,121,-260,231.5,234.0,-5.5,-6.5,S124P121,3,0.7222,0.3125,1521.0,1473.0,0.6584,0.3416,-4.071428571428571,2.428571428571429,0.43110000000000004,0.02367249999999993,Sacramento,7.071428571428571,1,1,0.0,835.1709233798404
12,12,1020,Denver,110,200,Phoenix,98,-240,224.5,224.0,-6.5,-6.0,D110P98,12,0.7059,0.3333,1563.0,1539.0,0.6267,0.37329999999999997,-3.2142857142857144,2.7857142857142856,0.42110000000000003,0.02892249999999998,Denver,15.214285714285715,1,1,0.0,857.1302243175253
13,13,1021,Dallas,87,120,Atlanta,113,-140,224.5,225.5,-2.5,-2.5,D87A113,-26,0.5833,0.4545,1539.0,1545.0,0.5855,0.4145,-2.142857142857143,0.3571428571428572,0.4898,0.0,,-23.857142857142858,-1,-1,1.0,857.1302243175253
