Team,Elo
Brooklyn,1593.0
Milwaukee,1581.0
Utah,1569.0
LALakers,1569.0
Phoenix,1563.0
Philadelphia,1557.0
GoldenState,1545.0
Dallas,1545.0
Miami,1545.0
Denver,1539.0
Atlanta,1539.0
LAClippers,1527.0
Boston,1527.0
Portland,1521.0
Indiana,1509.0
Chicago,1509.0
NewYork,1503.0
Memphis,1503.0
NewOrleans,1491.0
Charlotte,1485.0
Sacramento,1473.0
Toronto,1467.0
Minnesota,1467.0
Washington,1455.0
SanAntonio,1425.0
Houston,1419.0
Cleveland,1413.0
Detroit,1401.0
OklahomaCity,1395.0
Orlando,1389.0
