,Unnamed: 0,Date,v,final_v,ml_v,h,final_h,ml_h,total_open,total_close,spread_open,spread_close,gameid,margin,vegas_home_win_prob,vegas_away_win_prob,home_rating,away_rating,home_win_prob,away_win_prob,pred_spread,spread_diff_vegas,vegas_spread_winprob,bet_size,bet_team,pred_error,spread_outcome,home_win_ats,pred_correct,wealth
0,0,1017,Boston,99,166,Cleveland,102,-195,214.5,216.0,-4.0,-4.5,B99C102,-3,0.661,0.3759,1575.0,1575.0,0.5939,0.4061,-2.357142857142857,2.142857142857143,0.43920000000000003,0.019419999999999965,Boston,-0.6428571428571428,-1,1,0.0,1017.6545454545454
1,1,1017,Houston,122,364,GoldenState,121,-470,232.0,231.5,-9.0,-9.0,H122G121,1,0.8246,0.2155,1659.0,1587.0,0.6888,0.31120000000000003,-4.928571428571429,4.071428571428571,0.38560000000000005,0.04755999999999999,Houston,5.928571428571429,1,1,0.0,1061.6542274380165
2,2,1018,Brooklyn,131,135,Indiana,140,-155,212.0,216.5,-3.5,-3.0,B131I140,-9,0.6078,0.4255,1443.0,1419.0,0.6267,0.37329999999999997,-3.2142857142857144,-0.2142857142857144,0.5061,0.0,,-5.785714285714286,-1,-1,0.0,1061.6542274380165
3,3,1018,Philadelphia,115,240,Washington,120,-300,215.5,217.5,-6.5,-6.5,P115W120,-5,0.75,0.2941,1545.0,1491.0,0.6661,0.3339,-4.285714285714286,2.2142857142857144,0.43720000000000003,0.02047,Philadelphia,-0.7142857142857144,-1,1,0.0,1081.4106474704313
4,4,1018,Miami,109,-170,Orlando,116,145,207.0,205.5,3.0,3.5,M109O116,-7,0.4082,0.6296,1455.0,1515.0,0.5086,0.49139999999999995,-0.21428571428571427,-3.7142857142857144,0.6046,-0.04241500000000003,,-6.785714285714286,-1,-1,0.0,1123.1088589363026
5,5,1018,Charlotte,90,125,Detroit,102,-145,204.0,202.0,-3.0,-2.5,C90D102,-12,0.5918,0.4444,1485.0,1509.0,0.5602,0.43979999999999997,-1.5,1.0,0.47150000000000003,0.0024624999999999955,Charlotte,-10.5,-1,-1,1.0,1120.343203371172
6,6,1018,Milwaukee,108,105,Boston,100,-125,208.5,203.0,-6.0,-1.5,M108B100,8,0.5556,0.4878,1566.8771077047236,1539.0,0.6319,0.3681,-3.352753846597271,-1.8527538465972708,0.5526,-0.01511499999999999,,11.35275384659727,1,1,1.0,1103.4092158522167
7,7,1018,NewOrleans,91,110,Memphis,103,-130,205.0,204.5,-3.0,-2.0,N91M103,-12,0.5652,0.4762,1479.0,1491.0,0.5771,0.42290000000000005,-1.9285714285714286,0.0714285714285714,0.498,0.0,,-10.071428571428571,-1,-1,1.0,1103.4092158522167
8,8,1018,Atlanta,117,190,Dallas,111,-240,199.5,199.0,-6.5,-5.5,A117D111,6,0.7059,0.3448,1467.0,1407.0,0.6738,0.32620000000000005,-4.5,1.0,0.47150000000000003,0.0024624999999999955,Atlanta,10.5,1,1,0.0,1105.8793478467949
9,9,1018,Denver,96,120,Utah,106,-140,209.0,205.0,-2.0,-2.5,D96U106,-10,0.5833,0.4545,1497.0,1527.0,0.5516,0.4484,-1.2857142857142858,1.2142857142857142,0.46540000000000004,0.005664999999999987,Denver,-8.714285714285714,-1,-1,1.0,1099.6145413412428
