Team,Elo
GoldenState,1629.0
Boston,1608.0
Houston,1593.0
Toronto,1587.0
Philadelphia,1575.0
Utah,1551.0
LALakers,1545.0
OklahomaCity,1545.0
Milwaukee,1542.0
Indiana,1539.0
Denver,1539.0
NewOrleans,1527.0
Washington,1527.0
SanAntonio,1515.0
Miami,1512.0
Portland,1506.0
Minnesota,1503.0
Detroit,1485.0
LAClippers,1476.0
Dallas,1467.0
Charlotte,1467.0
Memphis,1461.0
Brooklyn,1446.0
Orlando,1440.0
Cleveland,1437.0
Chicago,1434.0
Phoenix,1428.0
NewYork,1425.0
Sacramento,1410.0
Atlanta,1395.0
