,Unnamed: 0,Date,v,final_v,ml_v,h,final_h,ml_h,total_open,total_close,spread_open,spread_close,gameid,margin,vegas_home_win_prob,vegas_away_win_prob,home_rating,away_rating,home_win_prob,away_win_prob,pred_spread,spread_diff_vegas,vegas_spread_winprob,bet_size,bet_team,pred_error,spread_outcome,home_win_ats,pred_correct,wealth
0,0,1222,GoldenState,99,265,Brooklyn,125,-320,228.0,234.5,-5.5,-7.5,G99B125,-26,0.7619,0.274,1557.0,1509.0,0.6584,0.3416,-4.071428571428571,3.428571428571429,0.4033,0.038267500000000024,GoldenState,-21.92857142857143,-1,-1,1.0,961.7325
1,1,1222,LAClippers,116,115,LALakers,109,-135,223.0,219.0,-2.5,-2.0,L116L109,7,0.5745,0.4651,1569.0,1563.0,0.6022,0.39780000000000004,-2.5714285714285716,-0.5714285714285716,0.5163,0.0,,9.571428571428571,1,1,1.0,961.7325
2,2,1223,Charlotte,114,-140,Cleveland,121,120,215.0,217.0,-1.0,3.0,C114C121,-7,0.4545,0.5833,1419.0,1443.0,0.5602,0.43979999999999997,-1.5,-4.5,0.6261,-0.05370249999999998,,-5.5,-1,-1,0.0,1008.6847178011363
3,3,1223,NewYork,107,270,Indiana,121,-330,214.5,215.5,-8.5,-7.5,N107I121,-14,0.7674,0.2703,1515.0,1413.0,0.7245,0.27549999999999997,-6.0,1.5,0.45730000000000004,0.009917500000000013,NewYork,-8.0,-1,-1,1.0,998.6810871123436
4,4,1223,Miami,107,-190,Orlando,113,170,220.5,219.0,3.5,4.5,M107O113,-6,0.3704,0.6552,1473.0,1545.0,0.4914,0.5085999999999999,0.21428571428571427,-4.285714285714286,0.6202,-0.05060500000000001,,-6.214285714285714,-1,-1,0.0,1044.6249565789983
5,5,1223,Washington,107,250,Philadelphia,113,-300,229.0,230.5,-7.5,-7.0,W107P113,-6,0.75,0.2857,1545.0,1479.0,0.6813,0.3187,-4.714285714285714,2.2857142857142856,0.43520000000000003,0.021519999999999973,Washington,-1.2857142857142856,-1,1,0.0,1065.0616193658893
6,6,1223,Milwaukee,121,-190,Boston,122,170,226.0,223.0,2.5,4.5,M121B122,-1,0.3704,0.6552,1551.0,1581.0,0.5516,0.4484,-1.2857142857142858,-5.785714285714286,0.6603,-0.07165749999999997,,0.2857142857142858,1,-1,0.0,1134.4431220838087
7,7,1223,NewOrleans,113,150,Toronto,99,-170,230.0,228.5,-5.0,-3.5,N113T99,14,0.6296,0.4,1539.0,1503.0,0.6427,0.35729999999999995,-3.642857142857143,-0.1428571428571428,0.5041,0.0,,17.642857142857142,1,1,1.0,1134.4431220838087
8,8,1223,Atlanta,124,-130,Chicago,104,110,227.0,234.0,1.5,2.0,A124C104,20,0.4762,0.5652,1461.0,1491.0,0.5516,0.4484,-1.2857142857142858,-3.2857142857142856,0.5928,-0.03621999999999997,,21.285714285714285,1,1,1.0,1093.3535922019332
9,9,1223,SanAntonio,131,110,Memphis,119,-130,231.5,230.0,-3.0,-2.0,S131M119,12,0.5652,0.4762,1473.0,1455.0,0.6186,0.38139999999999996,-3.0,-1.0,0.5285,-0.0024624999999999955,,15.0,1,1,1.0,1090.661208981136
10,10,1223,Detroit,101,190,Minnesota,111,-220,227.0,224.5,-5.5,-5.5,D101M111,-10,0.6875,0.3448,1461.0,1425.0,0.6427,0.35729999999999995,-3.642857142857143,1.8571428571428572,0.44720000000000004,0.015220000000000011,Detroit,-6.357142857142858,-1,-1,1.0,1074.061345380443
11,11,1223,Sacramento,124,260,Denver,122,-310,224.5,227.5,-8.0,-7.5,S124D122,2,0.7561,0.2778,1551.0,1455.0,0.7176,0.2824,-5.785714285714286,1.7142857142857144,0.45130000000000003,0.013067499999999994,Sacramento,7.785714285714286,1,1,0.0,1086.8207059538604
12,12,1223,Utah,120,-130,Portland,100,110,229.0,226.0,-1.5,1.5,U120P100,20,0.4762,0.5652,1527.0,1533.0,0.5855,0.4145,-2.142857142857143,-3.642857142857143,0.6026,-0.041365000000000055,,22.142857142857142,1,1,1.0,1041.8643674520788
13,13,1223,Dallas,102,100,Phoenix,106,-120,237.0,232.5,-0.0,-1.5,D102P106,-4,0.5455,0.5,1515.0,1539.0,0.5602,0.43979999999999997,-1.5,0.0,0.5,0.0,,-2.5,-1,-1,1.0,1041.8643674520788
14,14,1225,NewOrleans,98,130,Miami,111,-150,229.0,221.0,-5.0,-3.0,N98M111,-13,0.6,0.4348,1534.8273232835784,1515.8542613766524,0.6199,0.3801,-3.034752210961642,-0.03475221096164205,0.501,0.0,,-9.965247789038358,-1,-1,0.0,1041.8643674520788
15,15,1225,GoldenState,99,450,Milwaukee,138,-600,233.5,230.5,-8.5,-10.0,G99M138,-39,0.8571,0.1818,1572.0324709462193,1502.1682904183383,0.6861,0.31389999999999996,-4.852292161710035,5.147707838289965,0.35660000000000003,0.06278499999999997,GoldenState,-34.14770783828997,-1,-1,1.0,976.4509131416
16,16,1225,Brooklyn,123,-145,Boston,95,125,227.0,229.5,-0.0,3.0,B123B95,28,0.4444,0.5918,1559.9675290537807,1563.8317095816617,0.5885,0.4115,-2.219136409718536,-5.219136409718536,0.6453,-0.06378249999999999,,30.219136409718537,1,1,1.0,914.170432774146
17,17,1225,Dallas,115,225,LALakers,138,-265,230.0,226.0,-6.5,-6.0,D115L138,-23,0.726,0.3077,1556.9568381365057,1530.203002904638,0.6304,0.36960000000000004,-3.3126369725667035,2.6873630274332965,0.42390000000000005,0.02745249999999998,Dallas,-19.687363027433296,-1,-1,1.0,889.0741689684138
18,18,1225,LAClippers,121,-160,Denver,108,140,222.0,226.5,2.0,3.5,L121D108,13,0.4167,0.6154,1536.6481655361695,1575.0431618634943,0.5396,0.46040000000000003,-0.9858929883098264,-4.485892988309827,0.6256999999999999,-0.0534925,,13.985892988309827,1,1,1.0,841.515368984871
