Team,Rating
GoldenState,9.984598379
Boston,7.685769319
Houston,7.128416724
LALakers,3.345511447
Toronto,6.001702081
Philadelphia,4.96960182
OklahomaCity,3.218809889
Utah,3.673545865
SanAntonio,1.036452378
NewOrleans,1.882985909
Milwaukee,2.337834773
Washington,1.17654047
Indiana,2.239307675
Denver,3.019204259
Minnesota,0.314008247
Portland,0.531817124
Miami,0.283599125
Detroit,-1.664955066
NewYork,-6.096861672
Dallas,-2.352790657
LAClippers,-1.834976563
Cleveland,-5.144497313
Chicago,-5.520380995
Charlotte,-3.025663403
Memphis,-2.843585556
Orlando,-5.105824586
Phoenix,-5.370658986
Brooklyn,-4.479686587
Atlanta,-8.622764011
Sacramento,-6.767060088
